内蒙古联通-组播1,#genre#
BRTV卡酷少儿,http://116.114.139.73:8686/udp/239.125.1.127:4130
CCTV-1 综合,http://116.114.139.73:8686/udp/239.125.1.177:4130
CCTV-1 综合,http://116.114.139.73:8686/udp/239.125.2.219:4120
CCTV-1 综合,http://116.114.139.73:8686/udp/239.125.2.66:4120
CCTV-2 财经,http://116.114.139.73:8686/udp/239.125.1.118:4130
CCTV-2 财经,http://116.114.139.73:8686/udp/239.125.2.65:4120
CCTV-3 综艺,http://116.114.139.73:8686/udp/239.125.2.52:4120
CCTV-4 中文国际,http://116.114.139.73:8686/udp/239.125.1.141:4130
CCTV-4 中文国际,http://116.114.139.73:8686/udp/239.125.2.64:4120
CCTV-4 欧洲,http://116.114.139.73:8686/udp/239.125.2.196:4120
CCTV-4 美洲,http://116.114.139.73:8686/udp/239.125.2.197:4120
CCTV-5 体育,http://116.114.139.73:8686/udp/239.125.1.133:4130
CCTV-5 体育,http://116.114.139.73:8686/udp/239.125.2.54:4120
CCTV-5+ 体育赛事,http://116.114.139.73:8686/udp/239.125.1.57:5000
CCTV-6 电影,http://116.114.139.73:8686/udp/239.125.1.144:4130
CCTV-6 电影,http://116.114.139.73:8686/udp/239.125.2.56:4120
CCTV-7 国防军事,http://116.114.139.73:8686/udp/239.125.1.131:4130
CCTV-7 国防军事,http://116.114.139.73:8686/udp/239.125.2.63:4120
CCTV-8 电视剧,http://116.114.139.73:8686/udp/239.125.1.179:4130
CCTV-8 电视剧,http://116.114.139.73:8686/udp/239.125.2.58:4120
CCTV-9 纪录,http://116.114.139.73:8686/udp/239.125.1.142:4130
CCTV-9 纪录,http://116.114.139.73:8686/udp/239.125.2.62:4120
CCTV-10 科教,http://116.114.139.73:8686/udp/239.125.1.143:4130
CCTV-10 科教,http://116.114.139.73:8686/udp/239.125.2.61:4120
CCTV-11 戏曲,http://116.114.139.73:8686/udp/239.125.1.101:4120
CCTV-11 戏曲,http://116.114.139.73:8686/udp/239.125.1.134:4130
CCTV-12 社会与法,http://116.114.139.73:8686/udp/239.125.1.161:4130
CCTV-12 社会与法,http://116.114.139.73:8686/udp/239.125.2.60:4120
CCTV-13 新闻,http://116.114.139.73:8686/udp/239.125.1.53:4120
CCTV-14 少儿,http://116.114.139.73:8686/udp/239.125.1.162:4130
CCTV-14 少儿,http://116.114.139.73:8686/udp/239.125.2.59:4120
CCTV-15 音乐,http://116.114.139.73:8686/udp/239.125.1.102:4120
CCTV-15 音乐,http://116.114.139.73:8686/udp/239.125.1.163:4130
CCTV-16 奥林匹克,http://116.114.139.73:8686/udp/239.125.2.206:4120
CCTV-16 奥林匹克,http://116.114.139.73:8686/udp/239.125.2.218:4120
CCTV-17 农业农村,http://116.114.139.73:8686/udp/239.125.1.100:5000
CCTV-17 农业农村,http://116.114.139.73:8686/udp/239.125.2.204:4120
CCTV4K,http://116.114.139.73:8686/udp/239.125.1.214:4120
华数4K,http://116.114.139.73:8686/udp/239.125.1.24:5000
东方卫视4K,http://116.114.139.73:8686/udp/239.125.1.235:4120
北京卫视4K,http://116.114.139.73:8686/udp/239.125.2.105:4120
四川卫视4K,http://116.114.139.73:8686/udp/239.125.1.236:4120
山东卫视4K,http://116.114.139.73:8686/udp/239.125.1.237:4120
广东卫视4K,http://116.114.139.73:8686/udp/239.125.1.224:4120
江苏卫视4K,http://116.114.139.73:8686/udp/239.125.1.233:4120
浙江卫视4K,http://116.114.139.73:8686/udp/239.125.1.234:4120
深圳卫视4K,http://116.114.139.73:8686/udp/239.125.1.223:4120
湖南卫视4K,http://116.114.139.73:8686/udp/239.125.1.232:4120
CETV1,http://116.114.139.73:8686/udp/239.125.1.139:4130
CETV1,http://116.114.139.73:8686/udp/239.125.1.204:4120
CETV2,http://116.114.139.73:8686/udp/239.125.1.29:5000
CETV4,http://116.114.139.73:8686/udp/239.125.1.110:4120
CGTN,http://116.114.139.73:8686/udp/239.125.1.140:4130
