北京电信-组播1,#genre#
BRTV体育休闲,http://1.203.174.137:8180/rtp/225.1.8.23:8002
BRTV体育休闲,http://1.203.174.137:8180/rtp/225.1.8.56:8002
BRTV卡酷少儿,http://1.203.174.137:8180/rtp/225.1.8.130:8002
BRTV卡酷少儿,http://1.203.174.137:8180/rtp/225.1.8.35:8000
BRTV国际,http://1.203.174.137:8180/rtp/225.1.8.131:8002
BRTV影视,http://1.203.174.137:8180/rtp/225.1.8.124:8002
BRTV影视,http://1.203.174.137:8180/rtp/225.1.8.82:8000
BRTV文艺,http://1.203.174.137:8180/rtp/225.1.8.122:8002
BRTV文艺,http://1.203.174.137:8180/rtp/225.1.8.22:8002
BRTV新闻,http://1.203.174.137:8180/rtp/225.1.8.129:8002
BRTV新闻,http://1.203.174.137:8180/rtp/225.1.8.83:8000
BRTV生活,http://1.203.174.137:8180/rtp/225.1.8.108:8002
BRTV生活,http://1.203.174.137:8180/rtp/225.1.8.127:8002
BRTV纪实科教,http://1.203.174.137:8180/rtp/225.1.8.105:8002
BRTV纪实科教,http://1.203.174.137:8180/rtp/225.1.8.123:8002
BRTV财经,http://1.203.174.137:8180/rtp/225.1.8.106:8002
BRTV财经,http://1.203.174.137:8180/rtp/225.1.8.125:8002
北京IPTV4K超清,http://1.203.174.137:8180/rtp/225.1.8.211:8002
北京淘BABY,http://1.203.174.137:8180/rtp/225.1.8.36:8002
北京淘剧场,http://1.203.174.137:8180/rtp/225.1.8.37:8002
北京淘娱乐,http://1.203.174.137:8180/rtp/225.1.8.61:8002
北京淘电影,http://1.203.174.137:8180/rtp/225.1.8.38:8002
北京萌宠TV,http://1.203.174.137:8180/rtp/225.1.8.63:8002
密云综合,http://1.203.174.137:8180/rtp/225.1.8.75:8002
平谷综合,http://1.203.174.137:8180/rtp/225.1.8.86:8002
延庆综合,http://1.203.174.137:8180/rtp/225.1.8.196:8002
房山综合,http://1.203.174.137:8180/rtp/225.1.8.68:8002
朝阳融媒,http://1.203.174.137:8180/rtp/225.1.8.69:8002
通州综合,http://1.203.174.137:8180/rtp/225.1.8.119:8002
门头沟综合,http://1.203.174.137:8180/rtp/225.1.8.103:8001
CCTV-1 综合,http://1.203.174.137:8180/rtp/225.1.8.101:8080
CCTV-1 综合,http://1.203.174.137:8180/rtp/225.1.8.1:8008
CCTV-1 综合,http://1.203.174.137:8180/rtp/225.1.8.33:8002
CCTV-2 财经,http://1.203.174.137:8180/rtp/225.1.8.102:8004
CCTV-2 财经,http://1.203.174.137:8180/rtp/225.1.8.2:8084
CCTV-3 综艺,http://1.203.174.137:8180/rtp/225.1.8.88:8000
CCTV-3 综艺,http://1.203.174.137:8180/rtp/225.1.8.92:8000
CCTV-4 中文国际,http://1.203.174.137:8180/rtp/225.1.8.104:8216
CCTV-4 中文国际,http://1.203.174.137:8180/rtp/225.1.8.4:8092
CCTV-4 欧洲,http://1.203.174.137:8180/rtp/225.1.8.174:4222
CCTV-4 美洲,http://1.203.174.137:8180/rtp/225.1.8.175:4222
CCTV-5 体育,http://1.203.174.137:8180/rtp/225.1.8.89:8000
CCTV-5 体育,http://1.203.174.137:8180/rtp/225.1.8.93:8000
CCTV-5+ 体育赛事,http://1.203.174.137:8180/rtp/225.1.8.20:8004
CCTV-6 电影,http://1.203.174.137:8180/rtp/225.1.8.84:8000
CCTV-6 电影,http://1.203.174.137:8180/rtp/225.1.8.90:8000
CCTV-7 国防军事,http://1.203.174.137:8180/rtp/225.1.8.107:8024
CCTV-7 国防军事,http://1.203.174.137:8180/rtp/225.1.8.7:8104
CCTV-8 电视剧,http://1.203.174.137:8180/rtp/225.1.8.85:8000
CCTV-8 电视剧,http://1.203.174.137:8180/rtp/225.1.8.91:8000
CCTV-9 纪录,http://1.203.174.137:8180/rtp/225.1.8.109:8032
CCTV-9 纪录,http://1.203.174.137:8180/rtp/225.1.8.9:8112
CCTV-10 科教,http://1.203.174.137:8180/rtp/225.1.8.10:8116
CCTV-10 科教,http://1.203.174.137:8180/rtp/225.1.8.110:8228
CCTV-11 戏曲,http://1.203.174.137:8180/rtp/225.1.8.111:8040
CCTV-11 戏曲,http://1.203.174.137:8180/rtp/225.1.8.73:8120
CCTV-12 社会与法,http://1.203.174.137:8180/rtp/225.1.8.112:8232
CCTV-12 社会与法,http://1.203.174.137:8180/rtp/225.1.8.12:8124
CCTV-13 新闻,http://1.203.174.137:8180/rtp/225.1.8.113:8264
CCTV-13 新闻,http://1.203.174.137:8180/rtp/225.1.8.168:8130
CCTV-14 少儿,http://1.203.174.137:8180/rtp/225.1.8.114:8236
CCTV-14 少儿,http://1.203.174.137:8180/rtp/225.1.8.14:8132
CCTV-15 音乐,http://1.203.174.137:8180/rtp/225.1.8.115:8052
CCTV-15 音乐,http://1.203.174.137:8180/rtp/225.1.8.74:8136
CCTV-16 奥林匹克,http://1.203.174.137:8180/rtp/225.1.8.189:8002
CCTV-17 农业农村,http://1.203.174.137:8180/rtp/225.1.8.117:8064
CCTV-17 农业农村,http://1.203.174.137:8180/rtp/225.1.8.17:8144
CCTV4K,http://1.203.174.137:8180/rtp/225.1.8.223:2000
CCTV4K,http://1.203.174.137:8180/rtp/225.1.8.224:2000
CETV1,http://1.203.174.137:8180/rtp/225.1.8.169:4120
CETV1,http://1.203.174.137:8180/rtp/225.1.8.32:8152
CETV2,http://1.203.174.137:8180/rtp/225.1.8.193:4120
CETV4,http://1.203.174.137:8180/rtp/225.1.8.195:4120
CGTN,http://1.203.174.137:8180/rtp/225.1.8.116:8056
CGTN俄语,http://1.203.174.137:8180/rtp/225.1.8.181:4222
CGTN法语,http://1.203.174.137:8180/rtp/225.1.8.179:4222
CGTN纪录,http://1.203.174.137:8180/rtp/225.1.8.177:4222
CGTN英语,http://1.203.174.137:8180/rtp/225.1.8.176:4222
CGTN西语,http://1.203.174.137:8180/rtp/225.1.8.178:4222
CGTN阿语,http://1.203.174.137:8180/rtp/225.1.8.180:4222
CHC动作电影,http://1.203.174.137:8180/rtp/225.1.8.134:8002
东方卫视4K,http://1.203.174.137:8180/rtp/225.1.8.40:3006
北京卫视4K,http://1.203.174.137:8180/rtp/225.1.8.120:8002
北京卫视4K,http://1.203.174.137:8180/rtp/225.1.8.128:8002
北京卫视4K,http://1.203.174.137:8180/rtp/225.1.8.55:8002
四川卫视4K,http://1.203.174.137:8180/rtp/225.1.8.104:3001
山东卫视4K,http://1.203.174.137:8180/rtp/225.1.8.101:3005
广东卫视4K,http://1.203.174.137:8180/rtp/225.1.8.34:2000
广东卫视4K,http://1.203.174.137:8180/rtp/225.1.8.65:2000
江苏卫视4K,http://1.203.174.137:8180/rtp/225.1.8.197:3003
浙江卫视4K,http://1.203.174.137:8180/rtp/225.1.8.102:3004
深圳卫视4K,http://1.203.174.137:8180/rtp/225.1.8.164:2000
深圳卫视4K,http://1.203.174.137:8180/rtp/225.1.8.53:2000
湖南卫视4K,http://1.203.174.137:8180/rtp/225.1.8.100:3002
三沙卫视,http://1.203.174.137:8180/rtp/225.1.8.78:4120
东南卫视,http://1.203.174.137:8180/rtp/225.1.8.79:8148
东方卫视,http://1.203.174.137:8180/rtp/225.1.8.45:8032
云南卫视,http://1.203.174.137:8180/rtp/225.1.8.139:8108
兵团卫视,http://1.203.174.137:8180/rtp/225.1.8.191:8196
内蒙古卫视,http://1.203.174.137:8180/rtp/225.1.8.156:8176
北京卫视,http://1.203.174.137:8180/rtp/225.1.8.119:8002
北京卫视,http://1.203.174.137:8180/rtp/225.1.8.121:8002
北京卫视,http://1.203.174.137:8180/rtp/225.1.8.21:8002
北京卫视,http://1.203.174.137:8180/rtp/225.1.8.86:8002
厦门卫视,http://1.203.174.137:8180/rtp/225.1.8.166:4120
吉林卫视,http://1.203.174.137:8180/rtp/225.1.8.184:8174
四川卫视,http://1.203.174.137:8180/rtp/225.1.8.142:8288
天津卫视,http://1.203.174.137:8180/rtp/225.1.8.48:8044
宁夏卫视,http://1.203.174.137:8180/rtp/225.1.8.194:8212
安徽卫视,http://1.203.174.137:8180/rtp/225.1.8.52:8064
山东卫视,http://1.203.174.137:8180/rtp/225.1.8.50:8052
山东教育,http://1.203.174.137:8180/rtp/225.1.8.190:4120
山西卫视,http://1.203.174.137:8180/rtp/225.1.8.155:8172
广东卫视,http://1.203.174.137:8180/rtp/225.1.8.49:8048
广西卫视,http://1.203.174.137:8180/rtp/225.1.8.152:8300
新疆卫视,http://1.203.174.137:8180/rtp/225.1.8.192:8192
江苏卫视,http://1.203.174.137:8180/rtp/225.1.8.44:8028
江西卫视,http://1.203.174.137:8180/rtp/225.1.8.171:8166
河北卫视,http://1.203.174.137:8180/rtp/225.1.8.76:8002
河南卫视,http://1.203.174.137:8180/rtp/225.1.8.206:8184
浙江卫视,http://1.203.174.137:8180/rtp/225.1.8.46:8036
海南卫视,http://1.203.174.137:8180/rtp/225.1.8.158:8304
深圳卫视,http://1.203.174.137:8180/rtp/225.1.8.43:8020
湖北卫视,http://1.203.174.137:8180/rtp/225.1.8.47:8044
湖南卫视,http://1.203.174.137:8180/rtp/225.1.8.41:8012
甘肃卫视,http://1.203.174.137:8180/rtp/225.1.8.118:8180
西藏卫视,http://1.203.174.137:8180/rtp/225.1.8.210:8188
贵州卫视,http://1.203.174.137:8180/rtp/225.1.8.77:8076
辽宁卫视,http://1.203.174.137:8180/rtp/225.1.8.51:8056
重庆卫视,http://1.203.174.137:8180/rtp/225.1.8.172:8162
陕西卫视,http://1.203.174.137:8180/rtp/225.1.8.154:8140
青海卫视,http://1.203.174.137:8180/rtp/225.1.8.157:8184
黑龙江卫视,http://1.203.174.137:8180/rtp/225.1.8.42:8016
睛彩广场舞,http://1.203.174.137:8180/rtp/225.1.8.215:8002
睛彩竞技,http://1.203.174.137:8180/rtp/225.1.8.209:8002
睛彩篮球,http://1.203.174.137:8180/rtp/225.1.8.212:8002
睛彩青少,http://1.203.174.137:8180/rtp/225.1.8.214:8002
求索纪录,http://1.203.174.137:8180/rtp/225.1.8.138:8002
重温经典,http://1.203.174.137:8180/rtp/225.1.8.205:8002
重温经典,http://1.203.174.137:8180/rtp/225.1.8.39:8002
金鹰卡通,http://1.203.174.137:8180/rtp/225.1.8.163:9252
金鹰纪实,http://1.203.174.137:8180/rtp/225.1.8.31:8156
中国交通,http://1.203.174.137:8180/rtp/225.1.8.208:8002
中国天气,http://1.203.174.137:8180/rtp/225.1.8.72:8002
嘉佳卡通,http://1.203.174.137:8180/rtp/225.1.8.170:9268
四海钓鱼,http://1.203.174.137:8180/rtp/225.1.8.71:8002
环球旅游,http://1.203.174.137:8180/rtp/225.1.8.137:8002
