天津联通-组播1,#genre#

天津IPTV,http://125.37.57.47:8788/udp/225.1.2.127:5002$576p
天津IPTV,http://125.37.57.47:8788/udp/225.1.2.130:5002$1080p
天津IPTV,http://125.37.57.47:8788/udp/225.1.2.132:5002$1080p
天津IPTV,http://125.37.57.47:8788/udp/225.1.2.180:5002$576p
天津体育,http://125.37.57.47:8788/udp/225.1.1.122:5002$1080p
天津体育,http://125.37.57.47:8788/udp/225.1.1.6:5002$576p
天津卫视,http://125.37.57.47:8788/udp/225.1.1.111:5002$1080p
天津卫视,http://125.37.57.47:8788/udp/225.1.1.11:5002$576p
天津卫视,http://125.37.57.47:8788/udp/225.1.1.1:5002$576p
天津影视,http://125.37.57.47:8788/udp/225.1.1.149:5002$1080p
天津影视,http://125.37.57.47:8788/udp/225.1.1.4:5002$576p
天津教育,http://125.37.57.47:8788/udp/225.1.1.129:5002$1080p
天津教育,http://125.37.57.47:8788/udp/225.1.1.7:5002$576p
天津文旅,http://125.37.57.47:8788/udp/225.1.2.123:5002$1080p
天津文旅,http://125.37.57.47:8788/udp/225.1.2.124:5002$576p
天津文艺,http://125.37.57.47:8788/udp/225.1.1.131:5002$1080p
天津文艺,http://125.37.57.47:8788/udp/225.1.1.3:5002$576p
天津新闻,http://125.37.57.47:8788/udp/225.1.1.130:5002$1080p
天津新闻,http://125.37.57.47:8788/udp/225.1.1.2:5002$576p
天津相声,http://125.37.57.47:8788/udp/225.1.1.99:5002$1080p
天津相声,http://125.37.57.47:8788/udp/225.1.2.99:5002$1080p
天津购物,http://125.37.57.47:8788/udp/225.1.1.118:5002$1080p
天津购物,http://125.37.57.47:8788/udp/225.1.1.151:5002$1080p
天津都市,http://125.37.57.47:8788/udp/225.1.1.128:5002$1080p
天津都市,http://125.37.57.47:8788/udp/225.1.1.5:5002$576p
天津宣传,http://125.37.57.47:8788/udp/225.1.1.209:5002$576p
天津宣传,http://125.37.57.47:8788/udp/225.1.1.211:5002$576p
天津宣传,http://125.37.57.47:8788/udp/225.1.1.212:5002$576p
天津宣传,http://125.37.57.47:8788/udp/225.1.1.90:5002$576p
天津宣传,http://125.37.57.47:8788/udp/225.1.1.91:5002$576p
天津宣传,http://125.37.57.47:8788/udp/225.1.1.92:5002$576p
天津宣传,http://125.37.57.47:8788/udp/225.1.1.93:5002$576p
天津宣传,http://125.37.57.47:8788/udp/225.1.1.97:5002$576p
天津宣传,http://125.37.57.47:8788/udp/225.1.1.98:5002$576p
天津宣传,http://125.37.57.47:8788/udp/225.1.2.122:5002$576p
天津宣传,http://125.37.57.47:8788/udp/225.1.2.131:5002$576p
天津宣传,http://125.37.57.47:8788/udp/225.1.2.187:5002$576p
天津宣传,http://125.37.57.47:8788/udp/225.1.2.188:5002$576p
天津宣传,http://125.37.57.47:8788/udp/225.1.2.252:5002$576p
天津宣传,http://125.37.57.47:8788/udp/225.1.2.254:5002$576p
天津蓟州台,http://125.37.57.47:8788/udp/225.1.1.81:5002$576p
天津蓟州台,http://125.37.57.47:8788/udp/225.1.1.82:5002$1080p
天津静海台,http://125.37.57.47:8788/udp/225.1.1.110:5002$576p
宝坻综合,http://125.37.57.47:8788/udp/225.1.1.83:5002$576p
宝坻综合,http://125.37.57.47:8788/udp/225.1.2.128:5002$576p
河东综合,http://125.37.57.47:8788/udp/225.1.2.2:5002$576p
河西综合,http://125.37.57.47:8788/udp/225.1.2.4:5002$576p
滨海新闻综合,http://125.37.57.47:8788/udp/225.1.2.7:5002$576p
滨海生活,http://125.37.57.47:8788/udp/225.1.2.8:5002$576p
大港油田企业,http://125.37.57.47:8788/udp/225.1.2.14:5002$1080p
CCTV-1 综合,http://125.37.57.47:8788/udp/225.1.1.120:5002$1080p
CCTV-1 综合,http://125.37.57.47:8788/udp/225.1.1.12:5002$576p
CCTV-1 综合,http://125.37.57.47:8788/udp/225.1.1.96:5002$1080p
CCTV-1 综合,http://125.37.57.47:8788/udp/225.1.2.96:5002$1080p
CCTV-2 财经,http://125.37.57.47:8788/udp/225.1.1.133:5002$1080p
CCTV-2 财经,http://125.37.57.47:8788/udp/225.1.1.13:5002$576p
CCTV-2 财经,http://125.37.57.47:8788/udp/225.1.1.23:5002$576p
CCTV-3 综艺,http://125.37.57.47:8788/udp/225.1.1.14:5002$576p
CCTV-3 综艺,http://125.37.57.47:8788/udp/225.1.1.158:5002$1080p
CCTV-3 综艺,http://125.37.57.47:8788/udp/225.1.1.201:5002$576p
CCTV-4 中文国际,http://125.37.57.47:8788/udp/225.1.1.150:5002$1080p
CCTV-4 中文国际,http://125.37.57.47:8788/udp/225.1.1.15:5002$576p
CCTV-5 体育,http://125.37.57.47:8788/udp/225.1.1.106:5002$1080p
CCTV-5 体育,http://125.37.57.47:8788/udp/225.1.1.107:5002$576p
CCTV-5 体育,http://125.37.57.47:8788/udp/225.1.1.160:5002$1080p
CCTV-5 体育,http://125.37.57.47:8788/udp/225.1.1.16:5002$576p
CCTV-5+ 体育赛事,http://125.37.57.47:8788/udp/225.1.1.121:5002$1080p
CCTV-6 电影,http://125.37.57.47:8788/udp/225.1.1.17:5002$576p
CCTV-6 电影,http://125.37.57.47:8788/udp/225.1.1.195:5002$1080p
CCTV-7 国防军事,http://125.37.57.47:8788/udp/225.1.1.138:5002$1080p
CCTV-7 国防军事,http://125.37.57.47:8788/udp/225.1.1.18:5002$576p
CCTV-8 电视剧,http://125.37.57.47:8788/udp/225.1.1.196:5002$1080p
CCTV-8 电视剧,http://125.37.57.47:8788/udp/225.1.1.19:5002$576p
CCTV-9 纪录,http://125.37.57.47:8788/udp/225.1.1.119:5002$1080p
CCTV-9 纪录,http://125.37.57.47:8788/udp/225.1.1.20:5002$576p
CCTV-10 科教,http://125.37.57.47:8788/udp/225.1.1.140:5002$1080p
CCTV-10 科教,http://125.37.57.47:8788/udp/225.1.1.21:5002$576p
CCTV-11 戏曲,http://125.37.57.47:8788/udp/225.1.1.22:5002$576p
CCTV-11 戏曲,http://125.37.57.47:8788/udp/225.1.2.192:5002$1080p
CCTV-12 社会与法,http://125.37.57.47:8788/udp/225.1.1.142:5002$1080p
CCTV-13 新闻,http://125.37.57.47:8788/udp/225.1.1.24:5002$576p
CCTV-13 新闻,http://125.37.57.47:8788/udp/225.1.2.193:5002$1080p
CCTV-14 少儿,http://125.37.57.47:8788/udp/225.1.1.144:5002$1080p
CCTV-14 少儿,http://125.37.57.47:8788/udp/225.1.1.25:5002$576p
CCTV-15 音乐,http://125.37.57.47:8788/udp/225.1.1.26:5002$576p
CCTV-15 音乐,http://125.37.57.47:8788/udp/225.1.1.94:5002$1080p
CCTV-15 音乐,http://125.37.57.47:8788/udp/225.1.2.194:5002$1080p
CCTV-15 音乐,http://125.37.57.47:8788/udp/225.1.2.94:5002$1080p
CCTV-16 奥林匹克,http://125.37.57.47:8788/udp/225.1.2.237:5002$1080p
CCTV-17 农业农村,http://125.37.57.47:8788/udp/225.1.2.52:5002$1080p
CCTV4K,http://125.37.57.47:8788/udp/225.1.2.245:5002
CCTV世界地理,http://125.37.57.47:8788/udp/225.1.2.171:5002$1080p
CCTV中视购物,http://125.37.57.47:8788/udp/225.1.1.163:5002$576p
CCTV中视购物,http://125.37.57.47:8788/udp/225.1.2.85:5002$576p
CCTV兵器科技,http://125.37.57.47:8788/udp/225.1.2.166:5002$1080p
CCTV卫生健康,http://125.37.57.47:8788/udp/225.1.2.165:5002$1080p
CCTV央视台球,http://125.37.57.47:8788/udp/225.1.2.170:5002$1080p
CCTV央视文化精品,http://125.37.57.47:8788/udp/225.1.2.177:5002$1080p
CCTV女性时尚,http://125.37.57.47:8788/udp/225.1.2.172:5002$1080p
CCTV怀旧剧场,http://125.37.57.47:8788/udp/225.1.2.173:5002$1080p
CCTV电视指南,http://125.37.57.47:8788/udp/225.1.2.167:5002$1080p
CCTV第一剧场,http://125.37.57.47:8788/udp/225.1.2.175:5002$1080p
CCTV风云剧场,http://125.37.57.47:8788/udp/225.1.2.174:5002$1080p
CCTV风云音乐,http://125.37.57.47:8788/udp/225.1.2.176:5002$1080p
CCTV高尔夫网球,http://125.37.57.47:8788/udp/225.1.2.169:5002$1080p
CETV早期教育,http://125.37.57.47:8788/udp/225.1.2.207:5002$1080p
CGTN,http://125.37.57.47:8788/udp/225.1.1.27:5002$576p
