安徽电信-组播1,#genre#
BRTV卡酷少儿,http://60.168.237.249:6688/rtp/238.1.78.97:6648
CCTV-1 综合,http://60.168.237.249:6688/rtp/238.1.78.166:7200
CCTV-2 财经,http://60.168.237.249:6688/rtp/238.1.78.235:7752
CCTV-3 综艺,http://60.168.237.249:6688/rtp/238.1.78.170:7232
CCTV-4 中文国际,http://60.168.237.249:6688/rtp/238.1.78.236:7760
CCTV-5 体育,http://60.168.237.249:6688/rtp/238.1.78.171:7240
CCTV-5+ 体育赛事,http://60.168.237.249:6688/rtp/238.1.78.237:7768
CCTV-6 电影,http://60.168.237.249:6688/rtp/238.1.78.172:7248
CCTV-7 国防军事,http://60.168.237.249:6688/rtp/238.1.78.239:7784
CCTV-8 电视剧,http://60.168.237.249:6688/rtp/238.1.78.173:7256
CCTV-9 纪录,http://60.168.237.249:6688/rtp/238.1.78.240:7792
CCTV-10 科教,http://60.168.237.249:6688/rtp/238.1.78.241:7800
CCTV-11 戏曲,http://60.168.237.249:6688/rtp/238.1.78.206:7502
CCTV-12 社会与法,http://60.168.237.249:6688/rtp/238.1.78.242:7808
CCTV-13 新闻,http://60.168.237.249:6688/rtp/238.1.79.35:4392
CCTV-14 少儿,http://60.168.237.249:6688/rtp/238.1.78.243:7816
CCTV-15 音乐,http://60.168.237.249:6688/rtp/238.1.78.222:7648
CCTV-17 农业农村,http://60.168.237.249:6688/rtp/238.1.78.178:7296
CCTV4K,http://60.168.237.249:6688/rtp/238.1.79.23:4296
CCTV世界地理,http://60.168.237.249:6688/rtp/238.1.79.60:4616
CCTV兵器科技,http://60.168.237.249:6688/rtp/238.1.79.56:4584
CCTV央视台球,http://60.168.237.249:6688/rtp/238.1.79.59:4608
CCTV央视文化精品,http://60.168.237.249:6688/rtp/238.1.79.54:4568
CCTV女性时尚,http://60.168.237.249:6688/rtp/238.1.79.55:4576
CCTV怀旧剧场,http://60.168.237.249:6688/rtp/238.1.79.61:4624
CCTV电视指南,http://60.168.237.249:6688/rtp/238.1.79.53:4560
CCTV第一剧场,http://60.168.237.249:6688/rtp/238.1.79.63:4640
CCTV风云剧场,http://60.168.237.249:6688/rtp/238.1.79.62:4632
CCTV风云足球,http://60.168.237.249:6688/rtp/238.1.79.57:4592
CCTV风云音乐,http://60.168.237.249:6688/rtp/238.1.79.64:4648
CCTV高尔夫网球,http://60.168.237.249:6688/rtp/238.1.79.58:4600
CETV1,http://60.168.237.249:6688/rtp/238.1.78.158:7136
CETV2,http://60.168.237.249:6688/rtp/238.1.78.106:6720
CETV4,http://60.168.237.249:6688/rtp/238.1.78.107:6728
CGTN,http://60.168.237.249:6688/rtp/238.1.78.50:6272
CHC动作电影,http://60.168.237.249:6688/rtp/238.1.79.18:4256
CHC家庭影院,http://60.168.237.249:6688/rtp/238.1.79.22:4288
CHC影迷电影,http://60.168.237.249:6688/rtp/238.1.79.17:4248
东方卫视4K,http://60.168.237.249:6688/rtp/238.1.79.39:4428
北京卫视4K,http://60.168.237.249:6688/rtp/238.1.79.24:4304
四川卫视4K,http://60.168.237.249:6688/rtp/238.1.79.51:4520
山东卫视4K,http://60.168.237.249:6688/rtp/238.1.79.29:4344
广东卫视4K,http://60.168.237.249:6688/rtp/238.1.79.25:4312
江苏卫视4K,http://60.168.237.249:6688/rtp/238.1.78.37:4088
浙江卫视4K,http://60.168.237.249:6688/rtp/238.1.79.28:4336
深圳卫视4K,http://60.168.237.249:6688/rtp/238.1.79.26:4320
湖南卫视4K,http://60.168.237.249:6688/rtp/238.1.79.38:4416
三沙卫视,http://60.168.237.249:6688/rtp/238.1.78.27:6144
东南卫视,http://60.168.237.249:6688/rtp/238.1.78.22:6104
东方卫视,http://60.168.237.249:6688/rtp/238.1.78.163:7176
云南卫视,http://60.168.237.249:6688/rtp/238.1.78.89:6584
兵团卫视,http://60.168.237.249:6688/rtp/238.1.78.104:6704
兵团卫视,http://60.168.237.249:6688/rtp/238.1.79.3:4136
内蒙古卫视,http://60.168.237.249:6688/rtp/238.1.78.103:6696
北京卫视,http://60.168.237.249:6688/rtp/238.1.78.162:7168
厦门卫视,http://60.168.237.249:6688/rtp/238.1.78.246:7840
吉林卫视,http://60.168.237.249:6688/rtp/238.1.79.48:4496
四川卫视,http://60.168.237.249:6688/rtp/238.1.78.30:6168
天津卫视,http://60.168.237.249:6688/rtp/238.1.78.20:6088
宁夏卫视,http://60.168.237.249:6688/rtp/238.1.78.109:6744
宁夏卫视,http://60.168.237.249:6688/rtp/238.1.79.4:4144
山东卫视,http://60.168.237.249:6688/rtp/238.1.78.169:7224
山东教育,http://60.168.237.249:6688/rtp/238.1.78.254:7904
山西卫视,http://60.168.237.249:6688/rtp/238.1.78.95:6632
广东卫视,http://60.168.237.249:6688/rtp/238.1.78.161:7160
广西卫视,http://60.168.237.249:6688/rtp/238.1.78.70:6432
新疆卫视,http://60.168.237.249:6688/rtp/238.1.78.110:6752
新疆卫视,http://60.168.237.249:6688/rtp/238.1.79.2:4128
江苏卫视,http://60.168.237.249:6688/rtp/238.1.78.165:7192
江西卫视,http://60.168.237.249:6688/rtp/238.1.78.26:6136
河北卫视,http://60.168.237.249:6688/rtp/238.1.78.245:7832
河南卫视,http://60.168.237.249:6688/rtp/238.1.79.65:4632
浙江卫视,http://60.168.237.249:6688/rtp/238.1.78.164:7184
海南卫视,http://60.168.237.249:6688/rtp/238.1.79.49:4504
深圳卫视,http://60.168.237.249:6688/rtp/238.1.78.156:7120
湖北卫视,http://60.168.237.249:6688/rtp/238.1.78.168:7216
湖南卫视,http://60.168.237.249:6688/rtp/238.1.78.160:7152
甘肃卫视,http://60.168.237.249:6688/rtp/238.1.79.36:4400
西藏卫视,http://60.168.237.249:6688/rtp/238.1.78.101:6680
西藏卫视,http://60.168.237.249:6688/rtp/238.1.79.1:4120
贵州卫视,http://60.168.237.249:6688/rtp/238.1.78.244:7824
辽宁卫视,http://60.168.237.249:6688/rtp/238.1.78.21:6096
重庆卫视,http://60.168.237.249:6688/rtp/238.1.78.31:6176
陕西卫视,http://60.168.237.249:6688/rtp/238.1.78.88:6576
青海卫视,http://60.168.237.249:6688/rtp/238.1.78.102:6688
黑龙江卫视,http://60.168.237.249:6688/rtp/238.1.78.159:7144
安徽卫视,http://60.168.237.249:6688/rtp/238.1.78.137:6968
安徽卫视,http://60.168.237.249:6688/rtp/238.1.78.150:7072
安徽卫视,http://60.168.237.249:6688/rtp/238.1.78.33:6192
安徽卫视,http://60.168.237.249:6688/rtp/238.1.79.27:4328
安徽公共,http://60.168.237.249:6688/rtp/238.1.79.43:4456
安徽农业科教,http://60.168.237.249:6688/rtp/238.1.79.40:4432
安徽国际,http://60.168.237.249:6688/rtp/238.1.78.61:6360
安徽导视,http://60.168.237.249:6688/rtp/238.1.79.66:4664
安徽影视,http://60.168.237.249:6688/rtp/238.1.79.42:4448
安徽经济生活,http://60.168.237.249:6688/rtp/238.1.79.44:4464
安徽综艺体育,http://60.168.237.249:6688/rtp/238.1.79.41:4440
临泉综合,http://60.168.237.249:6688/rtp/238.1.78.29:6160
义安新闻综合,http://60.168.237.249:6688/rtp/238.1.78.211:7560
五河新闻综合,http://60.168.237.249:6688/rtp/238.1.79.52:4528
亳州农村,http://60.168.237.249:6688/rtp/238.1.78.129:6904
亳州综合,http://60.168.237.249:6688/rtp/238.1.78.128:6896
休宁新闻综合,http://60.168.237.249:6688/rtp/238.1.79.20:4272
六安社会生活,http://60.168.237.249:6688/rtp/238.1.78.145:7032
六安综合,http://60.168.237.249:6688/rtp/238.1.78.144:7024
