山东联通-组播1,#genre#
BRTV卡酷少儿,http://39.77.25.244:4002/udp/239.253.254.66:8000
BRTV纪实科教,http://39.77.25.244:4002/udp/239.253.254.165:8000
CCTV-1 综合,http://39.77.25.244:4002/udp/239.253.254.77:8000
CCTV-2 财经,http://39.77.25.244:4002/udp/239.253.254.232:8000
CCTV-3 综艺,http://39.77.25.244:4002/udp/239.253.254.191:8000
CCTV-4 中文国际,http://39.77.25.244:4002/udp/239.253.254.111:8000
CCTV-4 欧洲,http://39.77.25.244:4002/udp/239.253.254.186:8000
CCTV-4 美洲,http://39.77.25.244:4002/udp/239.253.254.187:8000
CCTV-5 体育,http://39.77.25.244:4002/udp/239.253.254.109:8000
CCTV-5 体育,http://39.77.25.244:4002/udp/239.253.254.204:8000
CCTV-5+ 体育赛事,http://39.77.25.244:4002/udp/239.253.254.80:8000
CCTV-6 电影,http://39.77.25.244:4002/udp/239.253.254.193:8000
CCTV-7 国防军事,http://39.77.25.244:4002/udp/239.253.254.233:8000
CCTV-8 电视剧,http://39.77.25.244:4002/udp/239.253.254.194:8000
CCTV-8 电视剧,http://39.77.25.244:4002/udp/239.253.254.211:8000
CCTV-9 纪录,http://39.77.25.244:4002/udp/239.253.254.79:8000
CCTV-10 科教,http://39.77.25.244:4002/udp/239.253.254.234:8000
CCTV-11 戏曲,http://39.77.25.244:4002/udp/239.253.254.12:8000
CCTV-11 戏曲,http://39.77.25.244:4002/udp/239.253.254.136:8000
CCTV-11 戏曲,http://39.77.25.244:4002/udp/239.253.254.169:8000
CCTV-12 社会与法,http://39.77.25.244:4002/udp/239.253.254.235:8000
CCTV-13 新闻,http://39.77.25.244:4002/udp/239.253.254.175:8000
CCTV-13 新闻,http://39.77.25.244:4002/udp/239.253.254.63:8000
CCTV-14 少儿,http://39.77.25.244:4002/udp/239.253.254.236:8000
CCTV-15 音乐,http://39.77.25.244:4002/udp/239.253.254.16:8000
CCTV-15 音乐,http://39.77.25.244:4002/udp/239.253.254.170:8000
CCTV-16 奥林匹克,http://39.77.25.244:4002/udp/239.253.254.143:8000
CCTV-17 农业农村,http://39.77.25.244:4002/udp/239.253.254.168:8000
CCTV4K,http://39.77.25.244:4002/udp/239.253.254.122:8000
