山西联通-组播1,#genre#
BRTV卡酷少儿,http://183.184.42.60:8001/rtp/226.0.2.57:8368
CCTV-1 综合,http://183.184.42.60:8001/rtp/226.0.2.153:9136
CCTV-1 综合,http://183.184.42.60:8001/rtp/226.0.2.18:8056
CCTV-2 财经,http://183.184.42.60:8001/rtp/226.0.2.154:9144
CCTV-2 财经,http://183.184.42.60:8001/rtp/226.0.2.19:8064
CCTV-3 综艺,http://183.184.42.60:8001/rtp/226.0.2.208:9576
CCTV-3 综艺,http://183.184.42.60:8001/rtp/226.0.2.20:8072
CCTV-4 中文国际,http://183.184.42.60:8001/rtp/226.0.2.156:9160
CCTV-4 中文国际,http://183.184.42.60:8001/rtp/226.0.2.21:8080
CCTV-5 体育,http://183.184.42.60:8001/rtp/226.0.2.209:9584
CCTV-5 体育,http://183.184.42.60:8001/rtp/226.0.2.22:8088
CCTV-5+ 体育赛事,http://183.184.42.60:8001/rtp/226.0.2.168:9256
CCTV-6 电影,http://183.184.42.60:8001/rtp/226.0.2.210:9592
CCTV-6 电影,http://183.184.42.60:8001/rtp/226.0.2.23:8096
CCTV-7 国防军事,http://183.184.42.60:8001/rtp/226.0.2.159:9184
CCTV-7 国防军事,http://183.184.42.60:8001/rtp/226.0.2.24:8104
CCTV-8 电视剧,http://183.184.42.60:8001/rtp/226.0.2.211:9600
CCTV-8 电视剧,http://183.184.42.60:8001/rtp/226.0.2.25:8112
CCTV-9 纪录,http://183.184.42.60:8001/rtp/226.0.2.161:9200
CCTV-9 纪录,http://183.184.42.60:8001/rtp/226.0.2.26:8120
CCTV-10 科教,http://183.184.42.60:8001/rtp/226.0.2.162:9208
CCTV-10 科教,http://183.184.42.60:8001/rtp/226.0.2.27:8128
CCTV-11 戏曲,http://183.184.42.60:8001/rtp/226.0.2.28:8136
CCTV-12 社会与法,http://183.184.42.60:8001/rtp/226.0.2.164:9224
CCTV-12 社会与法,http://183.184.42.60:8001/rtp/226.0.2.29:8144
CCTV-13 新闻,http://183.184.42.60:8001/rtp/226.0.2.165:9232
CCTV-13 新闻,http://183.184.42.60:8001/rtp/226.0.2.30:8152
CCTV-14 少儿,http://183.184.42.60:8001/rtp/226.0.2.166:9240
CCTV-14 少儿,http://183.184.42.60:8001/rtp/226.0.2.31:8160
CCTV-15 音乐,http://183.184.42.60:8001/rtp/226.0.2.32:8168
CCTV-16 奥林匹克,http://183.184.42.60:8001/rtp/226.0.2.169:9264
CCTV-17 农业农村,http://183.184.42.60:8001/rtp/226.0.2.170:9272
CCTV-17 农业农村,http://183.184.42.60:8001/rtp/226.0.2.207:9568
CCTV世界地理,http://183.184.42.60:8001/rtp/226.0.2.222:9688
CCTV中视购物,http://183.184.42.60:8001/rtp/226.0.2.72:8488
CCTV兵器科技,http://183.184.42.60:8001/rtp/226.0.2.223:9696
CCTV央视台球,http://183.184.42.60:8001/rtp/226.0.2.216:9640
CCTV央视文化精品,http://183.184.42.60:8001/rtp/226.0.2.219:9664
CCTV女性时尚,http://183.184.42.60:8001/rtp/226.0.2.226:9720
CCTV怀旧剧场,http://183.184.42.60:8001/rtp/226.0.2.224:9704
CCTV电视指南,http://183.184.42.60:8001/rtp/226.0.2.218:9656
CCTV第一剧场,http://183.184.42.60:8001/rtp/226.0.2.221:9680
CCTV风云剧场,http://183.184.42.60:8001/rtp/226.0.2.227:9728
CCTV风云足球,http://183.184.42.60:8001/rtp/226.0.2.225:9712
CCTV风云音乐,http://183.184.42.60:8001/rtp/226.0.2.220:9672
CCTV高尔夫网球,http://183.184.42.60:8001/rtp/226.0.2.217:9648
CETV1,http://183.184.42.60:8001/rtp/226.0.2.181:9360
CETV1,http://183.184.42.60:8001/rtp/226.0.2.68:8456
CETV2,http://183.184.42.60:8001/rtp/226.0.2.69:8464
CETV4,http://183.184.42.60:8001/rtp/226.0.2.70:8472
CETV早期教育,http://183.184.42.60:8001/rtp/226.0.2.99:8704
CHC动作电影,http://183.184.42.60:8001/rtp/226.0.2.94:8012
CHC家庭影院,http://183.184.42.60:8001/rtp/226.0.2.240:9820
CHC影迷电影,http://183.184.42.60:8001/rtp/226.0.2.93:8004
中央新影-老故事,http://183.184.42.60:8001/rtp/226.0.2.112:8808
CCTV4K,http://183.184.42.60:8001/rtp/226.0.1.242:2127
广东卫视4k,http://183.184.42.60:8001/rtp/226.0.1.245:2120
深圳卫视4K,http://183.184.42.60:8001/rtp/226.0.1.244:2119
北京卫视4K,http://183.184.42.60:8001/rtp/226.0.1.243:2118
北京卫视4K,http://183.184.42.60:8001/rtp/226.0.2.155:9172
湖南卫视4K,http://183.184.42.60:8001/rtp/226.0.1.246:2125
浙江卫视4K,http://183.184.42.60:8001/rtp/226.0.1.247:2123
东方卫视4K,http://183.184.42.60:8001/rtp/226.0.1.248:2121
江苏卫视4K,http://183.184.42.60:8001/rtp/226.0.1.249:2122
四川卫视4K,http://183.184.42.60:8001/rtp/226.0.1.250:2126
山东卫视4K,http://183.184.42.60:8001/rtp/226.0.1.251:2124
东南卫视,http://183.184.42.60:8001/rtp/226.0.2.188:9416
东南卫视,http://183.184.42.60:8001/rtp/226.0.2.40:8232
东方卫视,http://183.184.42.60:8001/rtp/226.0.2.175:9312
东方卫视,http://183.184.42.60:8001/rtp/226.0.2.34:8184
云南卫视,http://183.184.42.60:8001/rtp/226.0.2.60:8392
兵团卫视,http://183.184.42.60:8001/rtp/226.0.2.62:8408
内蒙古卫视,http://183.184.42.60:8001/rtp/226.0.2.63:8416
北京卫视,http://183.184.42.60:8001/rtp/226.0.2.177:9328
北京卫视,http://183.184.42.60:8001/rtp/226.0.2.39:8224
吉林卫视,http://183.184.42.60:8001/rtp/226.0.2.199:9504
吉林卫视,http://183.184.42.60:8001/rtp/226.0.2.58:8376
四川卫视,http://183.184.42.60:8001/rtp/226.0.2.179:9344
四川卫视,http://183.184.42.60:8001/rtp/226.0.2.42:8248
天津卫视,http://183.184.42.60:8001/rtp/226.0.2.148:9096
天津卫视,http://183.184.42.60:8001/rtp/226.0.2.56:8360
宁夏卫视,http://183.184.42.60:8001/rtp/226.0.2.64:8424
安徽卫视,http://183.184.42.60:8001/rtp/226.0.2.145:9072
安徽卫视,http://183.184.42.60:8001/rtp/226.0.2.37:8208
山东卫视,http://183.184.42.60:8001/rtp/226.0.2.149:9104
山东卫视,http://183.184.42.60:8001/rtp/226.0.2.51:8320
