江苏电信-组播1,#genre#
CCTV-1 综合,http://121.237.245.25:8888/rtp/239.49.8.129:6000$1080p
CCTV-1 综合,http://121.237.245.25:8888/rtp/239.49.8.19:9614 
CCTV-1 综合,http://121.237.245.25:8888/rtp/239.49.1.1:6000$576p
CCTV-2 财经,http://121.237.245.25:8888/rtp/239.49.8.130:6000$1080p
CCTV-2 财经,http://121.237.245.25:8888/rtp/239.49.8.50:9802
CCTV-2 财经,http://121.237.245.25:8888/rtp/239.49.1.2:6000$576p
CCTV-3 综艺,http://121.237.245.25:8888/rtp/239.49.8.74:8000$1080p
CCTV-3 综艺,http://121.237.245.25:8888/rtp/239.49.1.3:6000$576p
CCTV-4 中文国际,http://121.237.245.25:8888/rtp/239.49.8.131:6000$1080p
CCTV-4 中文国际,http://121.237.245.25:8888/rtp/239.49.1.4:6000$576p
CCTV-5 体育,http://121.237.245.25:8888/rtp/239.49.8.75:8000$1080p
CCTV-5 体育,http://121.237.245.25:8888/rtp/239.49.1.5:6000$576p
CCTV-5+ 体育赛事,http://121.237.245.25:8888/rtp/239.49.8.18:9610 
CCTV-6 电影,http://121.237.245.25:8888/rtp/239.49.8.76:8000$1080p
CCTV-6 电影,http://121.237.245.25:8888/rtp/239.49.1.6:6000$576p
CCTV-7 国防军事,http://121.237.245.25:8888/rtp/239.49.1.254:6000$576p
CCTV-7 国防军事,http://121.237.245.25:8888/rtp/239.49.8.126:8000$576p
CCTV-8 电视剧,http://121.237.245.25:8888/rtp/239.49.8.77:8000$1080p
CCTV-8 电视剧,http://121.237.245.25:8888/rtp/239.49.1.8:6000$576p
CCTV-9 纪录,http://121.237.245.25:8888/rtp/239.49.8.53:9814 
CCTV-10 科教,http://121.237.245.25:8888/rtp/239.49.8.134:6000$1080p
CCTV-10 科教,http://121.237.245.25:8888/rtp/239.49.8.54:9818 
CCTV-10 科教,http://121.237.245.25:8888/rtp/239.49.1.10:6000$576p
CCTV-11 戏曲,http://121.237.245.25:8888/rtp/239.49.1.11:6000$576p
CCTV-12 社会与法,http://121.237.245.25:8888/rtp/239.49.8.135:6000$1080p
CCTV-12 社会与法,http://121.237.245.25:8888/rtp/239.49.8.55:9822 
CCTV-12 社会与法,http://121.237.245.25:8888/rtp/239.49.1.12:6000$576p
CCTV-13 新闻,http://121.237.245.25:8888/rtp/239.49.8.109:8000$1080p
