河北联通-组播1,#genre#
BRTV卡酷少儿,http://60.4.29.46:8077/rtp/239.253.92.162:8054
BRTV纪实科教,http://60.4.29.46:8077/rtp/239.253.93.190:6358
CCTV-1 综合,http://60.4.29.46:8077/rtp/239.253.92.83:8012
CCTV-1 综合,http://60.4.29.46:8077/rtp/239.253.92.104:6221
CCTV-2 财经,http://60.4.29.46:8077/rtp/239.253.92.190:6065
CCTV-3 综艺,http://60.4.29.46:8077/rtp/239.253.92.191:6057
CCTV-4 中文国际,http://60.4.29.46:8077/rtp/239.253.92.251:6141
CCTV-4 欧洲,http://60.4.29.46:8077/rtp/239.253.93.192:6370
CCTV-4 美洲,http://60.4.29.46:8077/rtp/239.253.93.193:6371
CCTV-5 体育 ,http://60.4.29.46:8077/rtp/239.253.92.181:6046
CCTV-5+ 体育赛事,http://60.4.29.46:8077/rtp/239.253.92.82:8013
CCTV-6 电影,http://60.4.29.46:8077/rtp/239.253.92.193:6058
CCTV-7 国防军事,http://60.4.29.46:8077/rtp/239.253.92.194:6059
CCTV-8 电视剧,http://60.4.29.46:8077/rtp/239.253.92.195:6060
CCTV-9 纪录,http://60.4.29.46:8077/rtp/239.253.92.107:6020
CCTV-10 科教,http://60.4.29.46:8077/rtp/239.253.92.196:6061
CCTV-11 戏曲,http://60.4.29.46:8077/rtp/239.253.93.153:6321
CCTV-12 社会与法,http://60.4.29.46:8077/rtp/239.253.92.197:6062
CCTV-13 新闻,http://60.4.29.46:8077/rtp/239.253.92.13:8008
CCTV-14 少儿,http://60.4.29.46:8077/rtp/239.253.92.198:6063
CCTV-15 音乐,http://60.4.29.46:8077/rtp/239.253.93.154:6322
CCTV-16 奥林匹克,,http://60.4.29.46:8077/rtp/239.253.94.35:6635
CCTV-17 农业农村,http://60.4.29.46:8077/rtp/239.253.93.150:6318
CCTV4K,http://60.4.29.46:8077/rtp/239.253.93.134:6631
CCTV世界地理,http://60.4.29.46:8077/rtp/239.253.92.113:8066
CCTV世界地理,http://60.4.29.46:8077/rtp/239.253.92.131:6113
CCTV兵器科技,http://60.4.29.46:8077/rtp/239.253.92.119:8065
CCTV兵器科技,http://60.4.29.46:8077/rtp/239.253.93.47:6435
CCTV央视台球,http://60.4.29.46:8077/rtp/239.253.93.231:6409
CCTV央视文化精品,http://60.4.29.46:8077/rtp/239.253.92.25:6104
CCTV央视文化精品,http://60.4.29.46:8077/rtp/239.253.93.175:6439
CCTV女性时尚,http://60.4.29.46:8077/rtp/239.253.92.144:6114
CCTV女性时尚,http://60.4.29.46:8077/rtp/239.253.92.249:6103
CCTV怀旧剧场,http://60.4.29.46:8077/rtp/239.253.92.98:6120
CCTV怀旧剧场,http://60.4.29.46:8077/rtp/239.253.93.252:6430
CCTV第一剧场,http://60.4.29.46:8077/rtp/239.253.92.18:6079
CCTV第一剧场,http://60.4.29.46:8077/rtp/239.253.93.138:6428
CCTV风云剧场,http://60.4.29.46:8077/rtp/239.253.92.22:6073
CCTV风云剧场,http://60.4.29.46:8077/rtp/239.253.93.251:6429
CCTV风云足球,http://60.4.29.46:8077/rtp/239.253.92.110:8061
CCTV风云足球,http://60.4.29.46:8077/rtp/239.253.93.254:6432
CCTV风云音乐,http://60.4.29.46:8077/rtp/239.253.92.111:8060
CCTV风云音乐,http://60.4.29.46:8077/rtp/239.253.93.253:6431
CCTV高尔夫网球,http://60.4.29.46:8077/rtp/239.253.92.117:8062
CCTV高尔夫网球,http://60.4.29.46:8077/rtp/239.253.93.122:6465
CCTV卫生健康,http://60.4.29.46:8077/rtp/239.253.94.38:6636
CCTV电视指南,http://60.4.29.46:8077/rtp/239.253.92.17:6078
