贵州电信-组播1,#genre#
BRTV纪实科教,http://111.122.71.47:4000/rtp/238.255.2.107:5999$1080p
BRTV卡酷少儿,http://111.122.71.47:4000/rtp/238.255.2.106:5999$1080p
BRTV卡酷少儿,http://111.122.71.47:4000/rtp/238.255.2.80:5999$1080p
CCTV-1 综合,http://111.122.71.47:4000/rtp/238.255.2.91:5999$1080p
CCTV-2 财经,http://111.122.71.47:4000/rtp/238.255.2.11:5999$1080p
CCTV-3 综艺,http://111.122.71.47:4000/rtp/238.255.2.133:5999$1080p
CCTV-4 美洲,http://111.122.71.47:4000/rtp/238.255.2.214:5999$1080p
CCTV-4 欧洲,http://111.122.71.47:4000/rtp/238.255.2.213:5999$1080p
CCTV-4 中文国际,http://111.122.71.47:4000/rtp/238.255.2.92:5999$1080p
CCTV4K,http://111.122.71.47:4000/rtp/238.255.2.139:5999$2160p
CCTV4K,http://111.122.71.47:4000/rtp/238.255.2.48:5999$2160p
CCTV-5 体育,http://111.122.71.47:4000/rtp/238.255.2.134:5999$1080p
CCTV-5+ 体育赛事,http://111.122.71.47:4000/rtp/238.255.2.185:5999$1080p
CCTV-6 电影,http://111.122.71.47:4000/rtp/238.255.2.135:5999$1080p
CCTV-7 国防军事,http://111.122.71.47:4000/rtp/238.255.2.12:5999$1080p
CCTV-8 电视剧,http://111.122.71.47:4000/rtp/238.255.2.136:5999$1080p
CCTV-9 纪录,http://111.122.71.47:4000/rtp/238.255.2.155:5999$1080p
CCTV-10 科教,http://111.122.71.47:4000/rtp/238.255.2.13:5999$1080p
CCTV-11 戏曲,http://111.122.71.47:4000/rtp/238.255.2.14:5999$1080p
CCTV-12 社会与法,http://111.122.71.47:4000/rtp/238.255.2.15:5999$1080p
CCTV-13 新闻,http://111.122.71.47:4000/rtp/238.255.2.16:5999$1080p
CCTV-14 少儿,http://111.122.71.47:4000/rtp/238.255.2.17:5999$1080p
CCTV-15 音乐,http://111.122.71.47:4000/rtp/238.255.2.18:5999$1080p
CCTV-16 奥林匹克,http://111.122.71.47:4000/rtp/238.255.2.145:5999$2160p
CCTV-16 奥林匹克,http://111.122.71.47:4000/rtp/238.255.2.47:5999$2160p
CCTV-16 奥林匹克,http://111.122.71.47:4000/rtp/238.255.2.52:5999$1080p
CCTV-17 农业农村,http://111.122.71.47:4000/rtp/238.255.2.137:5999$1080p
CCTV兵器科技,http://111.122.71.47:4000/rtp/238.255.2.34:5999$1080p
CCTV第一剧场,http://111.122.71.47:4000/rtp/238.255.2.25:5999$1080p
CCTV风云剧场,http://111.122.71.47:4000/rtp/238.255.2.28:5999$1080p
CCTV风云音乐,http://111.122.71.47:4000/rtp/238.255.2.24:5999$1080p
CCTV风云足球,http://111.122.71.47:4000/rtp/238.255.2.29:5999$1080p
CCTV高尔夫网球,http://111.122.71.47:4000/rtp/238.255.2.223:5999$1080p
CCTV怀旧剧场,http://111.122.71.47:4000/rtp/238.255.2.33:5999$1080p
CCTV女性时尚,http://111.122.71.47:4000/rtp/238.255.2.27:5999$1080p
CCTV世界地理,http://111.122.71.47:4000/rtp/238.255.2.26:5999$1080p
CCTV卫生健康,http://111.122.71.47:4000/rtp/238.255.2.144:5999$1080p
CCTV央视台球,http://111.122.71.47:4000/rtp/238.255.2.224:5999$1080p
CCTV央视文化精品,http://111.122.71.47:4000/rtp/238.255.2.32:5999$1080p
CCTV中视购物,http://111.122.71.47:4000/rtp/238.255.2.44:5999$576p
CETV1,http://111.122.71.47:4000/rtp/238.255.2.105:5999$1080p
