辽宁联通-组播1,#genre#
BRTV卡酷少儿,http://116.2.169.166:4010/rtp/232.0.0.54:1234$1080p
BRTV卡酷少儿,http://116.2.169.166:4010/rtp/232.0.0.57:1234$576p
BRTV纪实科教,http://116.2.169.166:4010/rtp/232.0.0.162:1234$1080p
CCTV-1 综合,http://116.2.169.166:4010/rtp/232.0.0.189:1234$1080p
CCTV-1 综合,http://116.2.169.166:4010/rtp/232.0.0.1:1234$576p
CCTV-1 综合,http://116.2.169.166:4010/rtp/232.0.0.217:1234$1080p
CCTV-1 综合,http://116.2.169.166:4010/rtp/232.0.0.218:1234$1080p
CCTV-1 综合,http://116.2.169.166:4010/rtp/232.0.0.219:1234$1080p
CCTV-1 综合,http://116.2.169.166:4010/rtp/232.0.0.220:1234$1080p
CCTV-1 综合,http://116.2.169.166:4010/rtp/232.0.0.27:1234$1080p
CCTV-2 财经,http://116.2.169.166:4010/rtp/232.0.0.135:1234$1080p
CCTV-2 财经,http://116.2.169.166:4010/rtp/232.0.0.148:1234$1080p
CCTV-2 财经,http://116.2.169.166:4010/rtp/232.0.0.2:1234$576p
CCTV-3 综艺,http://116.2.169.166:4010/rtp/232.0.0.118:1234$1080p
CCTV-3 综艺,http://116.2.169.166:4010/rtp/232.0.0.170:1234$1080p
CCTV-3 综艺,http://116.2.169.166:4010/rtp/232.0.0.174:1234$576p
CCTV-4 中文国际,http://116.2.169.166:4010/rtp/232.0.0.155:1234$1080p
CCTV-4 中文国际,http://116.2.169.166:4010/rtp/232.0.0.197:1234$1080p
CCTV-4 中文国际,http://116.2.169.166:4010/rtp/232.0.0.201:1234$1080p
CCTV-4 中文国际,http://116.2.169.166:4010/rtp/232.0.0.4:1234$576p
CCTV-4 欧洲,http://116.2.169.166:4010/rtp/232.0.0.53:1234$1080p
CCTV-4 美洲,http://116.2.169.166:4010/rtp/232.0.0.59:1234$1080p
CCTV-5 体育,http://116.2.169.166:4010/rtp/232.0.0.119:1234$1080p
CCTV-5 体育,http://116.2.169.166:4010/rtp/232.0.0.171:1234$1080p
CCTV-5 体育,http://116.2.169.166:4010/rtp/232.0.0.175:1234$576p
CCTV-5 体育,http://116.2.169.166:4010/rtp/232.0.0.213:1234
CCTV-5+ 体育赛事,http://116.2.169.166:4010/rtp/232.0.0.92:1234$576p
