重庆联通-组播1,#genre#
重庆卫视,http://58.17.134.3:8002/rtp/225.0.4.187:7980
重庆卫视,http://58.17.134.3:8002/rtp/225.0.4.30:7980$576p
重庆少儿,http://58.17.134.3:8002/rtp/225.0.4.191:7980$1080p
重庆少儿,http://58.17.134.3:8002/rtp/225.0.4.71:7980$576p
重庆影视剧,http://58.17.134.3:8002/rtp/225.0.4.192:7980
重庆影视剧,http://58.17.134.3:8002/rtp/225.0.4.62:7980$576p
重庆文体娱乐,http://58.17.134.3:8002/rtp/225.0.4.194:7980
重庆文体娱乐,http://58.17.134.3:8002/rtp/225.0.4.65:7980$576p
重庆新农村,http://58.17.134.3:8002/rtp/225.0.4.189:7980
重庆新农村,http://58.17.134.3:8002/rtp/225.0.4.70:7980
重庆新闻,http://58.17.134.3:8002/rtp/225.0.4.188:7980
重庆新闻,http://58.17.134.3:8002/rtp/225.0.4.59:7980$576p
重庆汽摩,http://58.17.134.3:8002/rtp/225.0.4.195:7980
重庆汽摩,http://58.17.134.3:8002/rtp/225.0.4.61:7980
重庆社会与法,http://58.17.134.3:8002/rtp/225.0.4.190:7980$1080p
重庆社会与法,http://58.17.134.3:8002/rtp/225.0.4.64:7980
重庆移动电视,http://58.17.134.3:8002/rtp/225.0.4.197:7980
重庆移动电视,http://58.17.134.3:8002/rtp/225.0.4.66:7980$576p
重庆红叶,http://58.17.134.3:8002/rtp/225.0.4.193:7980$1080p
重庆红叶,http://58.17.134.3:8002/rtp/225.0.4.63:7980$576p
重庆红岩文化,http://58.17.134.3:8002/rtp/225.0.4.196:7980$1080p
重庆红岩文化,http://58.17.134.3:8002/rtp/225.0.4.69:7980$576p
BRTV卡酷少儿,http://58.17.134.3:8002/rtp/225.0.4.45:7980$576p
CCTV-1 综合,http://58.17.134.3:8002/rtp/225.0.4.150:7980$1080p
CCTV-1 综合,http://58.17.134.3:8002/rtp/225.0.4.151:7980$1080p
CCTV-1 综合,http://58.17.134.3:8002/rtp/225.0.4.159:7980$1080p
CCTV-1 综合,http://58.17.134.3:8002/rtp/225.0.4.1:7980$576p
CCTV-1 综合,http://58.17.134.3:8002/rtp/225.0.4.74:7980$1080p
CCTV-2 财经,http://58.17.134.3:8002/rtp/225.0.4.132:7980$1080p
CCTV-2 财经,http://58.17.134.3:8002/rtp/225.0.4.2:7980$576p
CCTV-3 综艺,http://58.17.134.3:8002/rtp/225.0.4.138:7980$576p
CCTV-3 综艺,http://58.17.134.3:8002/rtp/225.0.4.142:7980$1080p
CCTV-3 综艺,http://58.17.134.3:8002/rtp/225.0.4.51:7980$1080p
