上海电信-组播1,#genre#
BESTV,http://101.81.76.108:4022/rtp/233.18.204.158:5140$1080p
BESTV,http://101.81.76.108:4022/rtp/233.18.204.159:5140$1080p
BESTV,http://101.81.76.108:4022/rtp/233.18.204.161:5140$1080p
BESTV,http://101.81.76.108:4022/rtp/233.18.204.162:5140$1080p
BESTV,http://101.81.76.108:4022/rtp/233.18.204.163:5140$1080p
BESTV,http://101.81.76.108:4022/rtp/233.18.204.164:5140$1080p
BESTV,http://101.81.76.108:4022/rtp/233.18.204.165:5140$1080p
BESTV,http://101.81.76.108:4022/rtp/233.18.204.166:5140$1080p
BESTV,http://101.81.76.108:4022/rtp/233.18.204.167:5140$1080p
BESTV,http://101.81.76.108:4022/rtp/233.18.204.168:5140$1080p
BESTV,http://101.81.76.108:4022/rtp/233.18.204.160:5140$1080p
BESTV4K动画,http://101.81.76.108:4022/rtp/233.18.204.171:5140$2160p
BESTV4K电影,http://101.81.76.108:4022/rtp/233.18.204.169:5140$2160p
BESTV4K纪录,http://101.81.76.108:4022/rtp/233.18.204.170:5140$2160p
BRTV卡酷少儿,http://101.81.76.108:4022/rtp/233.18.204.109:5140$1080p
BRTV卡酷少儿,http://101.81.76.108:4022/rtp/233.18.204.152:5140$576p
CCTV-1 综合,http://101.81.76.108:4022/rtp/233.18.204.20:5140$576p
CCTV-1 综合,http://101.81.76.108:4022/rtp/233.18.204.52:5140$1080p
CCTV-2 财经,http://101.81.76.108:4022/rtp/233.18.204.21:5140$576p
CCTV-2 财经,http://101.81.76.108:4022/rtp/233.18.204.68:5140$1080p
CCTV-3 综艺,http://101.81.76.108:4022/rtp/233.18.204.22:5140$576p
CCTV-3 综艺,http://101.81.76.108:4022/rtp/233.18.204.69:5140$1080p
CCTV-4 中文国际,http://101.81.76.108:4022/rtp/233.18.204.23:5140$576p
CCTV-4 中文国际,http://101.81.76.108:4022/rtp/233.18.204.70:5140$1080p
CCTV-5 体育,http://101.81.76.108:4022/rtp/233.18.204.24:5140$576p
CCTV-5 体育,http://101.81.76.108:4022/rtp/233.18.204.71:5140$1080p
CCTV-5+ 体育赛事,http://101.81.76.108:4022/rtp/233.18.204.67:5140$1080p
CCTV-6 电影,http://101.81.76.108:4022/rtp/233.18.204.25:5140$576p
CCTV-6 电影,http://101.81.76.108:4022/rtp/233.18.204.72:5140$1080p
CCTV-7 国防军事,http://101.81.76.108:4022/rtp/233.18.204.26:5140$576p
CCTV-7 国防军事,http://101.81.76.108:4022/rtp/233.18.204.73:5140$1080p
CCTV-8 电视剧,http://101.81.76.108:4022/rtp/233.18.204.27:5140$576p
CCTV-8 电视剧,http://101.81.76.108:4022/rtp/233.18.204.74:5140$1080p
CCTV-9 纪录,http://101.81.76.108:4022/rtp/233.18.204.40:5140$576p
CCTV-9 纪录,http://101.81.76.108:4022/rtp/233.18.204.75:5140$1080p
CCTV-10 科教,http://101.81.76.108:4022/rtp/233.18.204.29:5140$576p
CCTV-10 科教,http://101.81.76.108:4022/rtp/233.18.204.76:5140$1080p
CCTV-11 戏曲,http://101.81.76.108:4022/rtp/233.18.204.30:5140$576p
CCTV-11 戏曲,http://101.81.76.108:4022/rtp/233.18.204.77:5140$1080p
CCTV-12 社会与法,http://101.81.76.108:4022/rtp/233.18.204.31:5140$576p
CCTV-12 社会与法,http://101.81.76.108:4022/rtp/233.18.204.78:5140$1080p
CCTV-13 新闻,http://101.81.76.108:4022/rtp/233.18.204.32:5140$576p
CCTV-13 新闻,http://101.81.76.108:4022/rtp/233.18.204.79:5140$1080p
CCTV-14 少儿,http://101.81.76.108:4022/rtp/233.18.204.33:5140$576p
CCTV-14 少儿,http://101.81.76.108:4022/rtp/233.18.204.80:5140$1080p
CCTV-15 音乐,http://101.81.76.108:4022/rtp/233.18.204.34:5140$576p
CCTV-15 音乐,http://101.81.76.108:4022/rtp/233.18.204.81:5140$1080p
CCTV-16 奥林匹克,http://101.81.76.108:4022/rtp/233.18.204.114:5140$2160p
