北京移动-组播1,#genre#
CCTV-1 综合,http://120.244.101.24:8822/rtp/228.1.1.28:8008
CCTV-2 财经,http://120.244.101.24:8822/rtp/228.1.1.24:8084
CCTV-3 综艺,http://120.244.101.24:8822/rtp/228.1.1.191:8002
CCTV-4 中文国际,http://120.244.101.24:8822/rtp/228.1.1.25:8092
CCTV-4 欧洲,http://120.244.101.24:8822/rtp/228.1.1.213:4220
CCTV-4 美洲,http://120.244.101.24:8822/rtp/228.1.1.203:4220
CCTV-5 体育,http://120.244.101.24:8822/rtp/228.1.1.192:8002
CCTV-5+ 体育赛事,http://120.244.101.24:8822/rtp/228.1.1.23:8004
CCTV-6 电影,http://120.244.101.24:8822/rtp/228.1.1.193:8002
CCTV-7 国防军事,http://120.244.101.24:8822/rtp/228.1.1.26:8104
CCTV-8 电视剧,http://120.244.101.24:8822/rtp/228.1.1.194:8002
CCTV-9 纪录,http://120.244.101.24:8822/rtp/228.1.1.27:8112
CCTV-10 科教,http://120.244.101.24:8822/rtp/228.1.1.29:8116
CCTV-11 戏曲,http://120.244.101.24:8822/rtp/228.1.1.182:8120
CCTV-12 社会与法,http://120.244.101.24:8822/rtp/228.1.1.30:8124
CCTV-13 新闻,http://120.244.101.24:8822/rtp/228.1.1.212:8128
CCTV-14 少儿,http://120.244.101.24:8822/rtp/228.1.1.31:8132
CCTV-15 音乐,http://120.244.101.24:8822/rtp/228.1.1.183:8136
CCTV-16 奥林匹克,http://120.244.101.24:8822/rtp/228.1.1.218:8002
CCTV-16 奥林匹克,http://120.244.101.24:8822/rtp/228.1.1.215:8002
CCTV-17 农业农村,http://120.244.101.24:8822/rtp/228.1.1.181:8144
CETV1,http://120.244.101.24:8822/rtp/228.1.1.32:8152
CETV2,http://120.244.101.24:8822/rtp/228.1.1.97:4120
CETV3,http://120.244.101.24:8822/rtp/228.1.1.98:4120
CETV4,http://120.244.101.24:8822/rtp/228.1.1.99:4120
CGTN纪录http://120.244.101.24:8822/rtp/228.1.1.205:4220
CGTN,http://120.244.101.24:8822/rtp/228.1.1.204:4220
CGTN西语,http://120.244.101.24:8822/rtp/228.1.1.206:4220
CGTN法语,http://120.244.101.24:8822/rtp/228.1.1.207:4220
CGTN俄语,http://120.244.101.24:8822/rtp/228.1.1.209:4220
CGTN阿语,http://120.244.101.24:8822/rtp/228.1.1.208:4220
湖南卫视4K,http://120.244.101.24:8822/rtp/228.1.1.40:3002
江苏卫视4K,http://120.244.101.24:8822/rtp/228.1.1.41:3002
东方卫视4K,http://120.244.101.24:8822/rtp/228.1.1.43:3006
浙江卫视4K,http://120.244.101.24:8822/rtp/228.1.1.45:3004
山东卫视4K,http://120.244.101.24:8822/rtp/228.1.1.46:3006
四川卫视4K,http://120.244.101.24:8822/rtp/228.1.1.47:3000
北京卫视4K,http://120.244.101.24:8822/rtp/228.1.1.234:8002
北京卫视4K,http://120.244.101.24:8822/rtp/228.1.1.235:8002
安徽卫视,http://120.244.101.24:8822/rtp/228.1.1.21:8064
北京卫视,http://120.244.101.24:8822/rtp/228.1.1.115:8000
