山西电信-组播1,#genre#
BRTV卡酷少儿,http://110.178.145.69:8188/rtp/239.1.1.62:8062
CCTV-1 综合,http://110.178.145.69:8188/rtp/239.1.1.7:8007
CCTV-2 财经,http://110.178.145.69:8188/rtp/239.1.1.8:8008
CCTV-3 综艺,http://110.178.145.69:8188/rtp/239.1.1.9:8009
CCTV-4 中文国际,http://110.178.145.69:8188/rtp/239.1.1.10:8010
CCTV-5 体育,http://110.178.145.69:8188/rtp/239.1.1.11:8011
CCTV-5+ 体育赛事,http://110.178.145.69:8188/rtp/239.1.1.12:8012
CCTV-6 电影,http://110.178.145.69:8188/rtp/239.1.1.13:8013
CCTV-7 国防军事,http://110.178.145.69:8188/rtp/239.1.1.14:8014
CCTV-8 电视剧,http://110.178.145.69:8188/rtp/239.1.1.15:8015
CCTV-9 纪录,http://110.178.145.69:8188/rtp/239.1.1.16:8016
CCTV-10 科教,http://110.178.145.69:8188/rtp/239.1.1.17:8017
CCTV-11 戏曲,http://110.178.145.69:8188/rtp/239.1.1.18:8018
CCTV-12 社会与法,http://110.178.145.69:8188/rtp/239.1.1.19:8019
CCTV-13 新闻,http://110.178.145.69:8188/rtp/239.1.1.20:8020
CCTV-14 少儿,http://110.178.145.69:8188/rtp/239.1.1.21:8021
CCTV-15 音乐,http://110.178.145.69:8188/rtp/239.1.1.22:8022
CCTV-16 奥林匹克,http://110.178.145.69:8188/rtp/239.1.1.122:8122
CCTV-17 农业农村,http://110.178.145.69:8188/rtp/239.1.1.23:8023
CCTV世界地理,http://110.178.145.69:8188/rtp/239.1.1.99:8099
CCTV兵器科技,http://110.178.145.69:8188/rtp/239.1.1.97:8097
CCTV央视台球,http://110.178.145.69:8188/rtp/239.1.1.100:8100
CCTV央视文化精品,http://110.178.145.69:8188/rtp/239.1.1.91:8091
CCTV女性时尚,http://110.178.145.69:8188/rtp/239.1.1.89:8089
CCTV怀旧剧场,http://110.178.145.69:8188/rtp/239.1.1.95:8095
CCTV电视指南,http://110.178.145.69:8188/rtp/239.1.1.90:8090
CCTV第一剧场,http://110.178.145.69:8188/rtp/239.1.1.94:8094
CCTV风云剧场,http://110.178.145.69:8188/rtp/239.1.1.93:8093
CCTV风云足球,http://110.178.145.69:8188/rtp/239.1.1.101:8101
CCTV风云音乐,http://110.178.145.69:8188/rtp/239.1.1.96:8096
CCTV高尔夫网球,http://110.178.145.69:8188/rtp/239.1.1.102:8102
CETV1,http://110.178.145.69:8188/rtp/239.1.1.65:8065
CETV2,http://110.178.145.69:8188/rtp/239.1.1.66:8066
CETV4,http://110.178.145.69:8188/rtp/239.1.1.67:8067
中央新影-中学生,http://110.178.145.69:8188/rtp/239.1.1.104:8104
中央新影-发现之旅,http://110.178.145.69:8188/rtp/239.1.1.103:8103
中央新影-老故事,http://110.178.145.69:8188/rtp/239.1.1.87:8087
