江西电信-组播1,#genre#

江西IPTV1,http://106.5.100.113:6002/udp/239.252.219.103:5140$1080p
江西IPTV1,http://106.5.100.113:6002/udp/239.252.219.188:5140$1080p
江西IPTV1,http://106.5.100.113:6002/udp/239.252.220.217:5140$1080p
江西IPTV2,http://106.5.100.113:6002/udp/239.252.219.187:5140$1080p
江西卫视,http://106.5.100.113:6002/udp/239.252.219.30:5140$576p
江西卫视,http://106.5.100.113:6002/udp/239.252.220.63:5140$1080p
江西少儿,http://106.5.100.113:6002/udp/239.252.219.113:5140$1080p
江西少儿,http://106.5.100.113:6002/udp/239.252.220.111:5140$576p
江西教育,http://106.5.100.113:6002/udp/239.252.219.115:5140$1080p
江西教育,http://106.5.100.113:6002/udp/239.252.219.147:5140$576p
江西新闻,http://106.5.100.113:6002/udp/239.252.220.100:5140$1080p
江西新闻,http://106.5.100.113:6002/udp/239.252.220.103:5140$576p
江西公共农业,http://106.5.100.113:6002/udp/239.252.220.102:5140$1080p
江西公共农业,http://106.5.100.113:6002/udp/239.252.220.239:5140$576p
江西移动电视,http://106.5.100.113:6002/udp/239.252.220.241:5140$1080p
江西经济生活,http://106.5.100.113:6002/udp/239.252.219.173:5140$1080p
江西经济生活,http://106.5.100.113:6002/udp/239.252.220.110:5140$576p
江西都市,http://106.5.100.113:6002/udp/239.252.220.109:5140$576p
江西都市,http://106.5.100.113:6002/udp/239.252.220.238:5140$1080p
江西陶瓷,http://106.5.100.113:6002/udp/239.252.220.243:5140$1080p
南昌新闻综合,http://106.5.100.113:6002/udp/239.252.220.247:5140$1080p
南昌资讯,http://106.5.100.113:6002/udp/239.252.220.249:5140$1080p
南昌都市,http://106.5.100.113:6002/udp/239.252.220.248:5140$1080p
九江新闻综合,http://106.5.100.113:6002/udp/239.252.220.176:5140$1080p
九江公共,http://106.5.100.113:6002/udp/239.252.219.167:5140$1080p
九江教育,http://106.5.100.113:6002/udp/239.252.219.56:5140$1080p
赣州新闻综合,http://106.5.100.113:6002/udp/239.252.220.252:5140$1080p
赣州经济生活,http://106.5.100.113:6002/udp/239.252.220.253:5140$1080p
上饶新闻综合,http://106.5.100.113:6002/udp/239.252.219.124:5140$1080p
上饶经济旅游,http://106.5.100.113:6002/udp/239.252.219.125:5140$1080p
BRTV卡酷少儿,http://106.5.100.113:6002/udp/239.252.219.109:5140$576p
BRTV卡酷少儿,http://106.5.100.113:6002/udp/239.252.220.246:5140$1080p
BRTV纪实科教,http://106.5.100.113:6002/udp/239.252.220.245:5140$1080p
CCTV-1 综合,http://106.5.100.113:6002/udp/239.252.219.10:5140$576p
CCTV-1 综合,http://106.5.100.113:6002/udp/239.252.219.121:5140$576p
CCTV-1 综合,http://106.5.100.113:6002/udp/239.252.219.200:5140$1080p
CCTV-1 综合,http://106.5.100.113:6002/udp/239.252.220.201:5140$1080p
CCTV-2 财经,http://106.5.100.113:6002/udp/239.252.219.11:5140$576p
CCTV-2 财经,http://106.5.100.113:6002/udp/239.252.220.183:5140$1080p
CCTV-3 综艺,http://106.5.100.113:6002/udp/239.252.219.252:5140$1080p
CCTV-3 综艺,http://106.5.100.113:6002/udp/239.252.220.193:5140$1080p
CCTV-3 综艺,http://106.5.100.113:6002/udp/239.252.220.66:5140$576p
CCTV-4 中文国际,http://106.5.100.113:6002/udp/239.252.219.12:5140$576p
CCTV-4 中文国际,http://106.5.100.113:6002/udp/239.252.220.184:5140$1080p
CCTV-4 欧洲,http://106.5.100.113:6002/udp/239.252.219.192:5140$1080p
CCTV-4 美洲,http://106.5.100.113:6002/udp/239.252.219.193:5140$1080p
CCTV-5 体育,http://106.5.100.113:6002/udp/239.252.219.198:5140$1080p
CCTV-5 体育,http://106.5.100.113:6002/udp/239.252.219.236:5140$1080p
CCTV-5 体育,http://106.5.100.113:6002/udp/239.252.220.141:5140$1080p
CCTV-5 体育,http://106.5.100.113:6002/udp/239.252.220.67:5140$576p
CCTV-5+ 体育赛事,http://106.5.100.113:6002/udp/239.252.219.73:5140$576p
CCTV-6 电影,http://106.5.100.113:6002/udp/239.252.219.237:5140$1080p
CCTV-6 电影,http://106.5.100.113:6002/udp/239.252.220.195:5140$1080p
CCTV-6 电影,http://106.5.100.113:6002/udp/239.252.220.68:5140$576p
CCTV-7 国防军事,http://106.5.100.113:6002/udp/239.252.219.13:5140$576p
CCTV-7 国防军事,http://106.5.100.113:6002/udp/239.252.220.185:5140$1080p
CCTV-8 电视剧,http://106.5.100.113:6002/udp/239.252.219.253:5140$1080p
CCTV-8 电视剧,http://106.5.100.113:6002/udp/239.252.220.196:5140$1080p
CCTV-8 电视剧,http://106.5.100.113:6002/udp/239.252.220.69:5140$576p
CCTV-9 纪录,http://106.5.100.113:6002/udp/239.252.220.149:5140$576p
CCTV-9 纪录,http://106.5.100.113:6002/udp/239.252.220.186:5140$1080p
CCTV-10 科教,http://106.5.100.113:6002/udp/239.252.219.15:5140$576p
CCTV-10 科教,http://106.5.100.113:6002/udp/239.252.220.91:5140$1080p
CCTV-11 戏曲,http://106.5.100.113:6002/udp/239.252.219.16:5140$576p
CCTV-11 戏曲,http://106.5.100.113:6002/udp/239.252.219.78:5140$1080p
CCTV-12 社会与法,http://106.5.100.113:6002/udp/239.252.219.17:5140$576p
CCTV-12 社会与法,http://106.5.100.113:6002/udp/239.252.220.187:5140$1080p
CCTV-13 新闻,http://106.5.100.113:6002/udp/239.252.219.139:5140$1080p
CCTV-13 新闻,http://106.5.100.113:6002/udp/239.252.219.18:5140$576p
CCTV-14 少儿,http://106.5.100.113:6002/udp/239.252.219.19:5140$576p
CCTV-14 少儿,http://106.5.100.113:6002/udp/239.252.220.92:5140$1080p
CCTV-15 音乐,http://106.5.100.113:6002/udp/239.252.219.20:5140$576p
CCTV-15 音乐,http://106.5.100.113:6002/udp/239.252.219.79:5140$1080p
CCTV-16 奥林匹克,http://106.5.100.113:6002/udp/239.252.219.59:5140$2160p
CCTV-16 奥林匹克,http://106.5.100.113:6002/udp/239.252.220.237:5140$2160p
CCTV-17 农业农村,http://106.5.100.113:6002/udp/239.252.220.191:5140$576p
CCTV-17 农业农村,http://106.5.100.113:6002/udp/239.252.220.192:5140$1080p
CCTV4K,http://106.5.100.113:6002/udp/239.252.219.60:5140
CCTV4K,http://106.5.100.113:6002/udp/239.252.220.244:5140$2160p
CCTV世界地理,http://106.5.100.113:6002/udp/239.252.219.93:5140$1080p
CCTV兵器科技,http://106.5.100.113:6002/udp/239.252.219.98:5140$1080p
CCTV央视台球,http://106.5.100.113:6002/udp/239.252.219.80:5140$1080p
CCTV央视文化精品,http://106.5.100.113:6002/udp/239.252.219.81:5140$1080p
CCTV女性时尚,http://106.5.100.113:6002/udp/239.252.219.94:5140$1080p
CCTV怀旧剧场,http://106.5.100.113:6002/udp/239.252.219.90:5140$1080p
CCTV电视指南,http://106.5.100.113:6002/udp/239.252.219.97:5140$1080p
CCTV第一剧场,http://106.5.100.113:6002/udp/239.252.219.86:5140$1080p
CCTV风云剧场,http://106.5.100.113:6002/udp/239.252.219.89:5140$1080p
CCTV风云足球,http://106.5.100.113:6002/udp/239.252.219.96:5140$1080p
CCTV风云音乐,http://106.5.100.113:6002/udp/239.252.219.87:5140$1080p
CCTV高尔夫网球,http://106.5.100.113:6002/udp/239.252.219.95:5140$1080p
CETV1,http://106.5.100.113:6002/udp/239.252.219.108:5140$576p
CETV1,http://106.5.100.113:6002/udp/239.252.220.198:5140$1080p
CETV4,http://106.5.100.113:6002/udp/239.252.219.126:5140$1080p
CETV4,http://106.5.100.113:6002/udp/239.252.219.169:5140$576p
CGTN,http://106.5.100.113:6002/udp/239.252.219.14:5140$576p
CGTN,http://106.5.100.113:6002/udp/239.252.219.194:5140$1080p
CGTN,http://106.5.100.113:6002/udp/239.252.220.150:5140$576p
CGTN俄语,http://106.5.100.113:6002/udp/239.252.219.67:5140$1080p
CGTN法语,http://106.5.100.113:6002/udp/239.252.219.65:5140$1080p
CGTN纪录,http://106.5.100.113:6002/udp/239.252.219.195:5140$1080p
CGTN西语,http://106.5.100.113:6002/udp/239.252.219.196:5140$1080p
CGTN阿语,http://106.5.100.113:6002/udp/239.252.219.66:5140$1080p
测试4K,http://106.5.100.113:6002/udp/239.252.219.114:5140$2160p
CHC动作电影,http://106.5.100.113:6002/udp/239.252.219.85:5140$1080p
CHC家庭影院,http://106.5.100.113:6002/udp/239.252.219.72:5140$1080p
CHC家庭影院,http://106.5.100.113:6002/udp/239.252.219.84:5140$1080p
CHC影迷电影,http://106.5.100.113:6002/udp/239.252.219.83:5140$1080p
三沙卫视,http://106.5.100.113:6002/udp/239.252.219.76:5140$576p
东南卫视,http://106.5.100.113:6002/udp/239.252.219.38:5140$576p
东南卫视,http://106.5.100.113:6002/udp/239.252.220.82:5140$1080p
东方卫视,http://106.5.100.113:6002/udp/239.252.219.229:5140$1080p
东方卫视,http://106.5.100.113:6002/udp/239.252.219.22:5140$576p
东方卫视,http://106.5.100.113:6002/udp/239.252.220.159:5140$1080p
中国天气,http://106.5.100.113:6002/udp/239.252.219.143:5140$1080p
书画,http://106.5.100.113:6002/udp/239.252.219.99:5140$576p
云南卫视,http://106.5.100.113:6002/udp/239.252.219.185:5140$1080p
云南卫视,http://106.5.100.113:6002/udp/239.252.219.216:5140$576p
兵团卫视,http://106.5.100.113:6002/udp/239.252.219.107:5140$576p
兵团卫视,http://106.5.100.113:6002/udp/239.252.219.133:5140$1080p
内蒙古卫视,http://106.5.100.113:6002/udp/239.252.219.48:5140$576p
内蒙古卫视,http://106.5.100.113:6002/udp/239.252.220.216:5140$1080p
北京卫视,http://106.5.100.113:6002/udp/239.252.219.206:5140$1080p
北京卫视,http://106.5.100.113:6002/udp/239.252.219.21:5140$576p
北京卫视,http://106.5.100.113:6002/udp/239.252.220.251:5140$1080p
北京卫视4K,http://106.5.100.113:6002/udp/239.252.220.250:5140
厦门卫视,http://106.5.100.113:6002/udp/239.252.219.75:5140$576p
吉林卫视,http://106.5.100.113:6002/udp/239.252.219.36:5140$576p
吉林卫视,http://106.5.100.113:6002/udp/239.252.220.188:5140$1080p
四川卫视,http://106.5.100.113:6002/udp/239.252.219.119:5140$1080p
四川卫视,http://106.5.100.113:6002/udp/239.252.219.32:5140$576p
四川卫视,http://106.5.100.113:6002/udp/239.252.220.93:5140$1080p
天津卫视,http://106.5.100.113:6002/udp/239.252.219.34:5140$576p
天津卫视,http://106.5.100.113:6002/udp/239.252.220.61:5140$1080p
宁夏卫视,http://106.5.100.113:6002/udp/239.252.219.104:5140$576p
宁夏卫视,http://106.5.100.113:6002/udp/239.252.219.130:5140$1080p
安徽卫视,http://106.5.100.113:6002/udp/239.252.219.25:5140$576p
安徽卫视,http://106.5.100.113:6002/udp/239.252.220.83:5140$1080p
山东卫视,http://106.5.100.113:6002/udp/239.252.219.120:5140$1080p
山东卫视,http://106.5.100.113:6002/udp/239.252.219.228:5140$1080p
山东卫视,http://106.5.100.113:6002/udp/239.252.219.26:5140$576p
山东教育,http://106.5.100.113:6002/udp/239.252.219.74:5140$576p
山西卫视,http://106.5.100.113:6002/udp/239.252.219.127:5140$1080p
山西卫视,http://106.5.100.113:6002/udp/239.252.219.27:5140$576p
广东卫视,http://106.5.100.113:6002/udp/239.252.219.213:5140$1080p
广东卫视,http://106.5.100.113:6002/udp/239.252.219.39:5140$576p
广东卫视,http://106.5.100.113:6002/udp/239.252.219.63:5140$1080p
广西卫视,http://106.5.100.113:6002/udp/239.252.219.183:5140$1080p
广西卫视,http://106.5.100.113:6002/udp/239.252.219.40:5140$576p
新疆卫视,http://106.5.100.113:6002/udp/239.252.219.100:5140$576p
新疆卫视,http://106.5.100.113:6002/udp/239.252.219.132:5140$1080p
江苏卫视,http://106.5.100.113:6002/udp/239.252.219.214:5140$1080p
江苏卫视,http://106.5.100.113:6002/udp/239.252.219.23:5140$576p
江苏卫视,http://106.5.100.113:6002/udp/239.252.220.12:5140$1080p
河北卫视,http://106.5.100.113:6002/udp/239.252.220.153:5140$576p
河北卫视,http://106.5.100.113:6002/udp/239.252.220.154:5140$1080p
河南卫视,http://106.5.100.113:6002/udp/239.252.219.33:5140$576p
河南卫视,http://106.5.100.113:6002/udp/239.252.220.189:5140$1080p
浙江卫视,http://106.5.100.113:6002/udp/239.252.219.210:5140$1080p
浙江卫视,http://106.5.100.113:6002/udp/239.252.219.24:5140$576p
浙江卫视,http://106.5.100.113:6002/udp/239.252.220.13:5140$1080p
海南卫视,http://106.5.100.113:6002/udp/239.252.219.178:5140$1080p
海南卫视,http://106.5.100.113:6002/udp/239.252.219.42:5140$576p
深圳卫视,http://106.5.100.113:6002/udp/239.252.219.212:5140$1080p
深圳卫视,http://106.5.100.113:6002/udp/239.252.219.45:5140$576p
深圳卫视,http://106.5.100.113:6002/udp/239.252.219.57:5140$1080p
湖北卫视,http://106.5.100.113:6002/udp/239.252.219.208:5140$1080p
湖北卫视,http://106.5.100.113:6002/udp/239.252.219.29:5140$576p
湖南卫视,http://106.5.100.113:6002/udp/239.252.219.201:5140$1080p
湖南卫视,http://106.5.100.113:6002/udp/239.252.219.28:5140$576p
湖南卫视,http://106.5.100.113:6002/udp/239.252.219.43:5140$1080p
甘肃卫视,http://106.5.100.113:6002/udp/239.252.219.110:5140$576p
