河北电信-组播1,#genre#
BRTV卡酷少儿,http://106.112.254.144:8989/rtp/239.254.200.91:9248
BRTV纪实科教,http://106.112.254.144:8989/rtp/239.254.200.188:6311
CCTV-1 综合,http://106.112.254.144:8989/rtp/239.254.200.27:6000
CCTV-1 综合,http://106.112.254.144:8989/rtp/239.254.200.45:8008
CCTV-2 财经,http://106.112.254.144:8989/rtp/239.254.200.158:6000
CCTV-3 综艺,http://106.112.254.144:8989/rtp/239.254.200.13:6000
CCTV-3 综艺,http://106.112.254.144:8989/rtp/239.254.201.152:7205
CCTV-3 综艺,http://106.112.254.144:8989/rtp/239.254.201.65:6000
CCTV-4 中文国际,http://106.112.254.144:8989/rtp/239.254.200.190:6307
CCTV-4 欧洲,http://106.112.254.144:8989/rtp/239.254.201.205:4220
CCTV-4 美洲,http://106.112.254.144:8989/rtp/239.254.201.206:4220
CCTV-5 体育,http://106.112.254.144:8989/rtp/239.254.200.14:6000
CCTV-5 体育,http://106.112.254.144:8989/rtp/239.254.201.153:7206
CCTV-5+ 体育赛事,http://106.112.254.144:8989/rtp/239.254.200.46:8004
CCTV-6 电影,http://106.112.254.144:8989/rtp/239.254.200.15:6000
CCTV-6 电影,http://106.112.254.144:8989/rtp/239.254.201.154:7207
CCTV-7 国防军事,http://106.112.254.144:8989/rtp/239.254.200.159:6000
CCTV-8 电视剧,http://106.112.254.144:8989/rtp/239.254.200.16:6000
CCTV-8 电视剧,http://106.112.254.144:8989/rtp/239.254.201.155:7208
CCTV-9 纪录,http://106.112.254.144:8989/rtp/239.254.200.59:8112
CCTV-10 科教,http://106.112.254.144:8989/rtp/239.254.200.160:6000
CCTV-11 戏曲,http://106.112.254.144:8989/rtp/239.254.201.123:8120
CCTV-12 社会与法,http://106.112.254.144:8989/rtp/239.254.200.161:6000
CCTV-13 新闻,http://106.112.254.144:8989/rtp/239.254.200.9:8264
CCTV-14 少儿,http://106.112.254.144:8989/rtp/239.254.200.162:6000
CCTV-15 音乐,http://106.112.254.144:8989/rtp/239.254.201.124:8136
CCTV-16 奥林匹克,http://106.112.254.144:8989/rtp/239.254.200.7:6346
CCTV-16 奥林匹克,http://106.112.254.144:8989/rtp/239.254.201.150:6345
CCTV-17 农业农村,http://106.112.254.144:8989/rtp/239.254.201.120:8144
CCTV4K,http://106.112.254.144:8989/rtp/239.254.201.67:6000
CCTV世界地理,http://106.112.254.144:8989/rtp/239.254.200.102:6236
