河南联通-组播1,#genre#
CCTV-1 综合,http://123.10.76.58:40000/rtp/225.1.4.73:1102
CCTV-1 综合,http://123.10.76.58:40000/rtp/225.1.4.244:1290
CCTV-2 财经,http://123.10.76.58:40000/rtp/225.1.4.74:1103
CCTV-3 综艺,http://123.10.76.58:40000/rtp/225.1.4.158:1194
CCTV-4 中文国际,http://123.10.76.58:40000/rtp/225.1.5.30:1333
CCTV-4 欧洲,http://123.10.76.58:40000/rtp/225.1.5.31:1342
CCTV-4 美洲,http://123.10.76.58:40000/rtp/225.1.5.32:1343
CCTV-5 体育,http://123.10.76.58:40000/rtp/225.1.4.159:1195
CCTV-5+ 体育赛事,http://123.10.76.58:40000/rtp/225.1.4.75:1104
CCTV-6 电影,http://123.10.76.58:40000/rtp/225.1.4.160:1196
CCTV-7 国防军事,http://123.10.76.58:40000/rtp/225.1.4.76:1105
CCTV-8 电视剧,http://123.10.76.58:40000/rtp/225.1.4.161:1197
CCTV-9 纪录,http://123.10.76.58:40000/rtp/225.1.4.77:1106
CCTV-10 科教,http://123.10.76.58:40000/rtp/225.1.4.78:1107
CCTV-11 戏曲,http://123.10.76.58:40000/rtp/225.1.4.215:1268
CCTV-12 社会与法,http://123.10.76.58:40000/rtp/225.1.4.79:1108
CCTV-13 新闻,http://123.10.76.58:40000/rtp/225.1.4.113:1293
CCTV-14 少儿,http://123.10.76.58:40000/rtp/225.1.4.80:1109
CCTV-15 音乐,http://123.10.76.58:40000/rtp/225.1.4.216:1269
CCTV-16 奥林匹克,http://123.10.76.58:40000/rtp/225.1.5.46:1356
CCTV-17 农业农村,http://123.10.76.58:40000/rtp/225.1.4.226:2506
CCTV-1 综合,http://123.10.76.58:40000/rtp/225.1.4.1:1030
CCTV-2 财经,http://123.10.76.58:40000/rtp/225.1.4.2:1031
CCTV-4 中文国际,http://123.10.76.58:40000/rtp/225.1.4.4:1033
CCTV-7 国防军事,http://123.10.76.58:40000/rtp/225.1.4.7:1036
CCTV-9 纪录,http://123.10.76.58:40000/rtp/225.1.4.9:1038
CCTV-10 科教,http://123.10.76.58:40000/rtp/225.1.4.10:1039
CCTV-11 戏曲,http://123.10.76.58:40000/rtp/225.1.4.11:1040
CCTV-12 社会与法,http://123.10.76.58:40000/rtp/225.1.4.12:1041
CCTV-13 新闻,http://123.10.76.58:40000/rtp/225.1.4.13:1042
CCTV-14 少儿,http://123.10.76.58:40000/rtp/225.1.4.14:1043
CCTV-15 音乐,http://123.10.76.58:40000/rtp/225.1.4.15:1044
CCTV-17 农业农村,http://123.10.76.58:40000/rtp/225.1.4.227:2507
CGTN,http://123.10.76.58:40000/rtp/225.1.4.16:1045
CGTN,http://123.10.76.58:40000/rtp/225.1.5.34:1344
CGTN纪录,http://123.10.76.58:40000/rtp/225.1.5.35:1345
CGTN西语,http://123.10.76.58:40000/rtp/225.1.5.36:1346
CGTN法语,http://123.10.76.58:40000/rtp/225.1.5.37:1347
CGTN阿语,http://123.10.76.58:40000/rtp/225.1.5.38:1348
CGTN俄语,http://123.10.76.58:40000/rtp/225.1.5.39:1349
CHC家庭影院,http://123.10.76.58:40000/rtp/225.1.4.209:1262
CHC动作电影,http://123.10.76.58:40000/rtp/225.1.4.208:1261
CHC影迷电影,http://123.10.76.58:40000/rtp/225.1.4.207:1260
CETV1,http://123.10.76.58:40000/rtp/225.1.4.173:1712
CETV2,http://123.10.76.58:40000/rtp/225.1.4.165:1206
CETV4,http://123.10.76.58:40000/rtp/225.1.4.171:1710
北京卫视4K,http://123.10.76.58:40000/rtp/225.1.5.67:1377
北京卫视4K,http://123.10.76.58:40000/rtp/225.1.5.45:1355
东方卫视4K,http://123.10.76.58:40000/rtp/225.1.5.70:1380
浙江卫视4K,http://123.10.76.58:40000/rtp/225.1.5.72:1382
江苏卫视4K,http://123.10.76.58:40000/rtp/225.1.5.71:1381
湖南卫视4K,http://123.10.76.58:40000/rtp/225.1.5.76:1386
广东卫视4K,http://123.10.76.58:40000/rtp/225.1.5.69:1379
深圳卫视4K,http://123.10.76.58:40000/rtp/225.1.5.68:1378
山东卫视4K,http://123.10.76.58:40000/rtp/225.1.5.73:1383
四川卫视4K,http://123.10.76.58:40000/rtp/225.1.5.75:1385
河南4K试验,http://123.10.76.58:40000/rtp/225.1.4.254:1300
河南4K试验,http://123.10.76.58:40000/rtp/225.1.4.254:1300
爱上4k,http://123.10.76.58:40000/rtp/225.1.4.162:1204
湖南卫视,http://123.10.76.58:40000/rtp/225.1.4.82:1111
江苏卫视,http://123.10.76.58:40000/rtp/225.1.4.83:1112
浙江卫视,http://123.10.76.58:40000/rtp/225.1.4.84:1113
北京卫视,http://123.10.76.58:40000/rtp/225.1.4.81:1110
东方卫视,http://123.10.76.58:40000/rtp/225.1.4.85:1114
天津卫视,http://123.10.76.58:40000/rtp/225.1.4.86:1115
山东卫视,http://123.10.76.58:40000/rtp/225.1.4.88:1117
安徽卫视,http://123.10.76.58:40000/rtp/225.1.4.87:1116
深圳卫视,http://123.10.76.58:40000/rtp/225.1.4.90:1119
江西卫视,http://123.10.76.58:40000/rtp/225.1.4.139:1305
湖北卫视,http://123.10.76.58:40000/rtp/225.1.4.89:1118
四川卫视,http://123.10.76.58:40000/rtp/225.1.4.151:1306
黑龙江卫视,http://123.10.76.58:40000/rtp/225.1.4.91:1120
云南卫视,http://123.10.76.58:40000/rtp/225.1.4.152:1307
贵州卫视,http://123.10.76.58:40000/rtp/225.1.4.122:1302
辽宁卫视,http://123.10.76.58:40000/rtp/225.1.4.167:1208
东南卫视,http://123.10.76.58:40000/rtp/225.1.4.228:1274
重庆卫视,http://123.10.76.58:40000/rtp/225.1.4.157:1308
广东卫视,http://123.10.76.58:40000/rtp/225.1.4.166:1207
广西卫视,http://123.10.76.58:40000/rtp/225.1.4.31:1060
河北卫视,http://123.10.76.58:40000/rtp/225.1.4.123:1304
海南卫视,http://123.10.76.58:40000/rtp/225.1.4.25:1054
吉林卫视,http://123.10.76.58:40000/rtp/225.1.4.174:1309
山西卫视,http://123.10.76.58:40000/rtp/225.1.4.38:1067
陕西卫视,http://123.10.76.58:40000/rtp/225.1.4.39:1068
甘肃卫视,http://123.10.76.58:40000/rtp/225.1.4.42:1071
宁夏卫视,http://123.10.76.58:40000/rtp/225.1.4.43:1072
青海卫视,http://123.10.76.58:40000/rtp/225.1.4.44:1073
内蒙古卫视,http://123.10.76.58:40000/rtp/225.1.4.45:1074
西藏卫视,http://123.10.76.58:40000/rtp/225.1.4.46:1075
新疆卫视,http://123.10.76.58:40000/rtp/225.1.4.47:1076
厦门卫视,http://123.10.76.58:40000/rtp/225.1.4.95:1124
兵团卫视,http://123.10.76.58:40000/rtp/225.1.4.97:1126
山东教育,http://123.10.76.58:40000/rtp/225.1.4.164:1205
三沙卫视,http://123.10.76.58:40000/rtp/225.1.4.234:1280
海南卫视,http://123.10.76.58:40000/rtp/225.1.4.195:1310
河南卫视,http://123.10.76.58:40000/rtp/225.1.4.51:1080
浙江卫视,http://123.10.76.58:40000/rtp/225.1.4.19:1048
东方卫视,http://123.10.76.58:40000/rtp/225.1.4.22:1051
天津卫视,http://123.10.76.58:40000/rtp/225.1.4.24:1053
安徽卫视,http://123.10.76.58:40000/rtp/225.1.4.20:1049
山东卫视,http://123.10.76.58:40000/rtp/225.1.4.27:1056
湖北卫视,http://123.10.76.58:40000/rtp/225.1.4.35:1064
深圳卫视,http://123.10.76.58:40000/rtp/225.1.4.23:1052
黑龙江卫视,http://123.10.76.58:40000/rtp/225.1.4.28:1057
北京卫视,http://123.10.76.58:40000/rtp/225.1.4.21:1050
湖南卫视,http://123.10.76.58:40000/rtp/225.1.4.17:1046
江苏卫视,http://123.10.76.58:40000/rtp/225.1.4.18:1047
广东卫视,http://123.10.76.58:40000/rtp/225.1.4.30:1059
辽宁卫视,http://123.10.76.58:40000/rtp/225.1.4.26:1055
爱体育,http://123.10.76.58:40000/rtp/225.1.4.168:1220
东南卫视,http://123.10.76.58:40000/rtp/225.1.4.32:1061
贵州卫视,http://123.10.76.58:40000/rtp/225.1.4.41:1070
河北卫视,http://123.10.76.58:40000/rtp/225.1.4.34:1063
