湖南电信-组播1,#genre#
BRTV卡酷少儿,http://113.221.59.169:4000/rtp/239.76.252.111:9000$576p
BRTV卡酷少儿,http://113.221.59.169:4000/rtp/239.76.254.81:9000
BRTV纪实科教,http://113.221.59.169:4000/rtp/239.76.254.65:9000
CCTV-1 综合,http://113.221.59.169:4000/rtp/239.76.246.151:1234$1080p
CCTV-1 综合,http://113.221.59.169:4000/rtp/239.76.252.51:9000$576p
CCTV-1 综合,http://113.221.59.169:4000/rtp/239.76.253.151:9000$1080p
CCTV-2 财经,http://113.221.59.169:4000/rtp/239.76.246.152:1234$1080p
CCTV-2 财经,http://113.221.59.169:4000/rtp/239.76.252.52:9000$576p
CCTV-2 财经,http://113.221.59.169:4000/rtp/239.76.253.152:9000$1080p
CCTV-3 综艺,http://113.221.59.169:4000/rtp/239.76.246.153:1234$1080p
CCTV-3 综艺,http://113.221.59.169:4000/rtp/239.76.252.53:9000$576p
CCTV-3 综艺,http://113.221.59.169:4000/rtp/239.76.253.153:9000$1080p
CCTV-4 中文国际,http://113.221.59.169:4000/rtp/239.76.245.195:1234$1080p
CCTV-4 中文国际,http://113.221.59.169:4000/rtp/239.76.246.154:1234$1080p
CCTV-4 中文国际,http://113.221.59.169:4000/rtp/239.76.252.54:9000$576p
CCTV-4 中文国际,http://113.221.59.169:4000/rtp/239.76.253.154:9000$1080p
CCTV-4 欧洲,http://113.221.59.169:4000/rtp/239.76.246.95:1234$1080p
CCTV-4 欧洲,http://113.221.59.169:4000/rtp/239.76.253.95:9000$1080p
CCTV-4 美洲,http://113.221.59.169:4000/rtp/239.76.246.96:1234$1080p
CCTV-4 美洲,http://113.221.59.169:4000/rtp/239.76.253.96:9000$1080p
CCTV-5 体育,http://113.221.59.169:4000/rtp/239.76.246.155:1234$1080p
CCTV-5 体育,http://113.221.59.169:4000/rtp/239.76.252.55:9000$576p
CCTV-5 体育,http://113.221.59.169:4000/rtp/239.76.253.155:9000$1080p
CCTV-5 体育,http://113.221.59.169:4000/rtp/239.76.254.214:9000
CCTV-5+ 体育赛事,http://113.221.59.169:4000/rtp/239.76.246.168:1234$1080p
CCTV-5+ 体育赛事,http://113.221.59.169:4000/rtp/239.76.254.215:9000
CCTV-6 电影,http://113.221.59.169:4000/rtp/239.76.246.156:1234$1080p
CCTV-6 电影,http://113.221.59.169:4000/rtp/239.76.252.56:9000$576p
CCTV-6 电影,http://113.221.59.169:4000/rtp/239.76.253.156:9000$1080p
CCTV-7 国防军事,http://113.221.59.169:4000/rtp/239.76.246.157:1234$1080p
CCTV-7 国防军事,http://113.221.59.169:4000/rtp/239.76.252.57:9000$576p
CCTV-7 国防军事,http://113.221.59.169:4000/rtp/239.76.253.157:9000
CCTV-8 电视剧,http://113.221.59.169:4000/rtp/239.76.246.158:1234
CCTV-8 电视剧,http://113.221.59.169:4000/rtp/239.76.252.58:9000$576p
CCTV-8 电视剧,http://113.221.59.169:4000/rtp/239.76.253.158:9000$1080p
CCTV-9 纪录,http://113.221.59.169:4000/rtp/239.76.246.159:1234$1080p
CCTV-9 纪录,http://113.221.59.169:4000/rtp/239.76.252.59:9000$576p
CCTV-9 纪录,http://113.221.59.169:4000/rtp/239.76.253.159:9000$1080p
CCTV-10 科教,http://113.221.59.169:4000/rtp/239.76.246.160:1234$1080p
CCTV-10 科教,http://113.221.59.169:4000/rtp/239.76.252.60:9000$576p
CCTV-10 科教,http://113.221.59.169:4000/rtp/239.76.253.160:9000$1080p
CCTV-11 戏曲,http://113.221.59.169:4000/rtp/239.76.245.251:1234$1080p
CCTV-11 戏曲,http://113.221.59.169:4000/rtp/239.76.252.251:9000$1080p
CCTV-11 戏曲,http://113.221.59.169:4000/rtp/239.76.252.61:9000$576p
CCTV-12 社会与法,http://113.221.59.169:4000/rtp/239.76.246.162:1234$1080p
CCTV-12 社会与法,http://113.221.59.169:4000/rtp/239.76.252.62:9000$576p
