青海电信-组播1,#genre#
九画面,http://220.167.170.251:4000/rtp/239.120.1.131:8268
青海卫视,http://220.167.170.251:4000/rtp/239.120.1.64:8332
青海都市,http://220.167.170.251:4000/rtp/239.120.1.41:8220
青海经视,http://220.167.170.251:4000/rtp/239.120.1.42:8226
安多卫视,http://220.167.170.251:4000/rtp/239.120.1.40:8214
海东综合,http://220.167.170.251:4000/rtp/239.120.1.102:8328
海北州新闻综合,http://220.167.170.251:4000/rtp/239.120.1.123:8266
海北州新闻综合,http://220.167.170.251:4000/rtp/239.120.1.200:8404
海西州综合,http://220.167.170.251:4000/rtp/239.120.1.184:9160
海南州综合,http://220.167.170.251:4000/rtp/239.120.1.247:9436
黄南州综合,http://220.167.170.251:4000/rtp/239.120.1.100:9128
果洛州综合,http://220.167.170.251:4000/rtp/239.120.1.92:8218
西宁新闻综合,http://220.167.170.251:4000/rtp/239.120.1.249:9444
青海油田,http://220.167.170.251:4000/rtp/239.120.1.144:8416
矿区生活,http://220.167.170.251:4000/rtp/239.120.1.145:8420
CCTV-1 综合,http://220.167.170.251:4000/rtp/239.120.1.119:8260
CCTV-1 综合,http://220.167.170.251:4000/rtp/239.120.1.120:8778
CCTV-2 财经,http://220.167.170.251:4000/rtp/239.120.1.223:9484
CCTV-3 综艺,http://220.167.170.251:4000/rtp/239.120.1.88:9420
CCTV-4 中文国际,http://220.167.170.251:4000/rtp/239.120.1.159:9012
CCTV-5 体育,http://220.167.170.251:4000/rtp/239.120.1.46:8248
CCTV-5+ 体育赛事,http://220.167.170.251:4000/rtp/239.120.1.245:9428
CCTV-6 电影,http://220.167.170.251:4000/rtp/239.120.1.49:8252
CCTV-7 国防军事,http://220.167.170.251:4000/rtp/239.120.1.224:9490
CCTV-8 电视剧,http://220.167.170.251:4000/rtp/239.120.1.50:8308
CCTV-9 纪录,http://220.167.170.251:4000/rtp/239.120.1.227:9496
CCTV-10 科教,http://220.167.170.251:4000/rtp/239.120.1.250:9448
CCTV-11 戏曲,http://220.167.170.251:4000/rtp/239.120.1.163:9036
CCTV-12 社会与法,http://220.167.170.251:4000/rtp/239.120.1.230:9502
CCTV-13 新闻,http://220.167.170.251:4000/rtp/239.120.1.165:9048
CCTV-14 少儿,http://220.167.170.251:4000/rtp/239.120.1.193:8284
CCTV-15 音乐,http://220.167.170.251:4000/rtp/239.120.1.167:9060
CCTV-16 奥林匹克,http://220.167.170.251:4000/rtp/239.120.1.252:9554
CCTV-16 奥林匹克,http://220.167.170.251:4000/rtp/239.120.1.153:9878
CCTV-17 农业农村,http://220.167.170.251:4000/rtp/239.120.1.68:8370
CCTV4K,http://220.167.170.251:4000/rtp/239.120.1.154:9882
CGTN,http://220.167.170.251:4000/rtp/239.120.1.161:9024
CETV1,http://220.167.170.251:4000/rtp/239.120.1.133:8856
CETV2,http://220.167.170.251:4000/rtp/239.120.1.44:8238
CETV2,http://220.167.170.251:4000/rtp/239.120.1.110:8250
CETV4,http://220.167.170.251:4000/rtp/239.120.1.45:8244
CHC影迷电影,http://220.167.170.251:4000/rtp/239.120.1.111:8254
山东卫视4K,http://220.167.170.251:4000/rtp/239.120.1.104:9846
湖南卫视4K,http://220.167.170.251:4000/rtp/239.120.1.105:9850
四川卫视4K,http://220.167.170.251:4000/rtp/239.120.1.90:9866
江苏卫视4K,http://220.167.170.251:4000/rtp/239.120.1.106:9854
浙江卫视4K,http://220.167.170.251:4000/rtp/239.120.1.107:9858
东方卫视4K,http://220.167.170.251:4000/rtp/239.120.1.109:9862
广东卫视4K,http://220.167.170.251:4000/rtp/239.120.1.115:9870
深圳卫视4K,http://220.167.170.251:4000/rtp/239.120.1.152:9874
北京卫视4K,http://220.167.170.251:4000/rtp/239.120.1.158:9888
甘肃卫视,http://220.167.170.251:4000/rtp/239.120.1.118:8700
东方卫视,http://220.167.170.251:4000/rtp/239.120.1.121:8784
北京卫视,http://220.167.170.251:4000/rtp/239.120.1.122:8790
黑龙江卫视,http://220.167.170.251:4000/rtp/239.120.1.124:8802
江苏卫视,http://220.167.170.251:4000/rtp/239.120.1.125:8808
